,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,0.3,0.6,50.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.8,0.0,0.3,0.8,33.3,0.1,1.0,14.3,0.3,0.5,66.7
1,AJ Green,MIL,23,0.1,0.2,75.0,0.1,0.1,100,0.2,0.4,50.0,0.1,0.4,16.7,0.3,0.5,50.0,0.3,0.8,35.7,0.9,2.2,41.1
2,AJ Griffin,ATL,19,0.6,0.9,71.7,1.0,1.9,51.5,0.5,1.1,50.9,0.4,0.8,44.4,0.1,0.3,31.3,0.5,1.2,41.0,1.1,2.7,39.6
3,Aaron Gordon,DEN,27,4.9,6.7,72.6,0.5,1.2,39.7,0.2,0.8,29.7,0.1,0.3,25.0,0.1,0.4,30.0,0.2,0.7,27.8,0.8,1.8,46.0
4,Aaron Holiday,ATL,26,0.6,1.0,56.3,0.3,0.9,30.2,0.1,0.4,36.8,0.1,0.2,42.9,0.0,0.2,12.5,0.1,0.3,26.7,0.6,1.2,45.8
5,Aaron Nesmith,IND,23,1.3,2.3,57.8,0.2,0.9,27.3,0.2,0.6,37.5,0.3,0.8,32.6,0.4,1.2,36.2,0.7,2.0,34.7,0.7,2.2,33.9
6,Aaron Wiggins,OKC,24,1.6,2.5,65.4,0.2,0.8,26.5,0.0,0.0,0.0,0.2,0.7,27.6,0.1,0.3,41.7,0.3,1.0,31.7,0.4,0.8,50.0
7,Admiral Schofield,ORL,25,0.8,1.2,71.0,0.2,0.3,57.1,0.0,0.0,0.0,0.2,0.5,36.4,0.2,0.3,50.0,0.3,0.8,42.1,0.4,1.3,28.6
8,Al Horford,BOS,36,0.9,1.3,68.4,0.5,1.0,48.8,0.0,0.3,14.3,0.3,0.8,34.3,0.7,1.2,55.8,0.9,2.0,47.1,1.1,2.9,38.9
9,Alec Burks,DET,31,0.6,0.9,63.4,0.8,1.8,42.5,0.8,1.8,42.0,0.3,0.7,41.4,0.3,0.4,57.9,0.5,1.1,47.9,1.4,3.5,40.3
10,Aleksej Pokusevski,OKC,21,1.7,2.9,60.0,0.4,1.2,31.6,0.1,0.5,21.4,0.3,0.7,42.9,0.1,0.4,30.0,0.4,1.0,38.7,0.8,2.3,37.1
11,Alex Caruso,CHI,28,0.9,1.4,65.2,0.1,0.5,13.0,0.1,0.3,41.7,0.2,0.4,55.6,0.2,0.6,32.1,0.4,1.0,41.3,0.4,1.2,35.7
12,Alex Len,SAC,29,0.2,0.3,75.0,0.1,0.2,50.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,3.6,5.5,66.2,1.9,3.9,49.2,0.2,0.4,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,35.3
16,Amir Coffey,LAC,25,0.6,1.0,57.1,0.4,1.2,37.2,0.2,0.5,30.0,0.1,0.4,20.0,0.1,0.4,30.0,0.2,0.7,25.0,0.1,0.4,33.3
17,Andre Drummond,CHI,29,2.5,3.7,67.9,0.3,0.6,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
