,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
134,Draymond Green,GSW,32,7.7,11.6,66.9,8.0,16.8,47.9,3.5,8.1,43.4,1.1,2.8,38.6,1.1,2.8,37.7,2.1,5.6,38.1,6.4,18.2,35.1
135,Drew Eubanks,POR,26,8.2,12.8,63.7,2.6,5.5,46.8,1.6,3.7,42.7,0.7,1.9,37.4,0.7,2.0,35.8,1.3,3.7,36.6,3.4,9.2,36.8
136,Dru Smith,BKN,25,3.4,5.0,68.6,1.9,4.3,44.1,1.1,3.1,36.0,0.9,1.4,60.0,0.7,1.7,41.7,1.4,2.8,50.0,2.5,7.0,35.7
137,Duane Washington Jr.,PHX,22,4.7,7.2,65.4,2.2,5.1,42.9,1.0,2.8,35.4,0.6,1.7,33.3,0.4,0.8,47.1,0.7,1.9,38.0,2.3,6.4,35.4
138,Duncan Robinson,MIA,28,5.8,8.4,68.5,2.5,5.6,44.3,1.3,3.3,39.6,1.2,2.1,58.2,0.8,2.2,37.9,1.9,4.0,47.8,3.3,9.5,34.6
139,Dwight Powell,DAL,31,6.8,9.8,69.3,3.4,7.5,45.3,2.0,4.6,43.4,0.8,2.0,41.0,0.6,1.6,35.7,1.3,3.4,38.6,3.1,9.0,34.1
140,Dyson Daniels,NOP,19,7.6,10.2,74.2,2.6,6.6,39.3,1.8,4.8,38.0,0.9,2.2,40.7,0.9,2.3,40.5,1.8,4.3,40.6,3.8,11.6,32.4
141,Edmond Sumner,BKN,27,5.5,8.5,64.9,1.9,5.1,36.6,1.0,3.1,33.6,0.6,1.7,35.6,0.6,1.1,50.0,1.0,2.3,41.7,2.8,7.3,37.6
142,Eric Gordon,LAC,34,10.9,15.7,69.5,4.6,10.5,44.0,2.4,6.4,37.9,1.1,2.6,42.1,1.0,2.8,35.3,2.1,5.4,38.6,6.6,17.8,37.1
143,Eugene Omoruyi,OKC,26,4.2,6.3,66.2,1.5,3.4,45.3,0.5,2.0,27.9,0.7,1.8,38.2,0.5,1.5,35.7,1.2,3.1,37.1,2.4,6.2,38.0
144,Evan Fournier,NYK,30,6.5,9.3,69.3,1.5,4.7,32.7,1.9,4.6,41.5,0.6,1.9,31.0,0.9,1.6,54.5,1.3,3.3,41.3,3.5,10.8,32.5
145,Evan Mobley,CLE,21,10.8,17.4,62.2,4.4,10.7,41.6,3.2,7.7,41.4,1.5,3.0,48.3,1.2,2.9,41.4,2.7,5.9,44.9,6.0,16.4,36.6
146,Facundo Campazzo,DAL,31,2.3,3.1,72.7,1.1,3.1,36.4,0.5,2.0,25.0,0.0,0.6,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.3,2.9,45.0
147,Frank Kaminsky,HOU,29,3.3,4.3,75.9,0.9,2.1,44.4,0.4,1.2,34.5,0.5,1.0,50.0,0.4,0.9,41.2,0.6,1.4,45.7,1.2,3.5,33.3
148,Frank Ntilikina,DAL,24,4.1,6.5,63.8,1.8,3.9,45.5,1.1,2.7,42.0,0.5,1.0,44.8,0.4,1.5,26.2,0.8,2.3,33.8,2.0,5.8,34.8
149,Franz Wagner,ORL,21,11.9,17.1,69.5,4.4,10.4,42.1,2.9,6.9,42.7,1.4,3.5,41.4,1.3,3.2,40.9,2.8,6.7,41.1,5.9,18.4,31.9
150,Fred VanVleet,TOR,28,13.4,19.3,69.7,5.4,11.7,46.3,2.8,6.5,42.8,1.7,4.0,43.5,1.5,3.9,37.2,3.2,7.9,40.4,6.1,17.0,35.8
151,Furkan Korkmaz,PHI,25,4.5,6.8,67.3,1.3,3.3,41.0,0.5,1.7,30.6,0.5,1.2,40.0,0.7,1.3,53.3,0.9,1.9,45.7,1.8,5.8,31.7
152,Gabe Vincent,MIA,26,8.2,12.0,68.4,3.7,8.6,43.2,1.9,5.0,38.6,1.2,3.0,38.8,1.1,3.1,34.3,2.3,6.2,36.5,4.5,12.9,35.1
153,Garrett Temple,NOP,36,2.9,4.1,72.6,0.8,2.2,36.8,0.8,1.5,50.0,0.3,1.3,20.0,0.2,0.8,22.2,0.3,1.4,20.8,1.8,5.1,35.6
154,Garrison Mathews,ATL,26,4.4,6.3,69.8,1.6,4.5,34.3,1.0,2.6,37.3,0.6,1.3,45.8,0.4,1.1,39.5,0.9,2.2,43.3,3.0,9.4,32.1
155,Gary Harris,ORL,28,9.5,12.9,73.5,3.7,7.7,47.6,2.5,6.0,41.9,1.1,2.3,47.1,1.0,2.1,45.8,2.0,4.3,46.5,4.4,12.8,34.0
156,Gary Payton II,GSW,30,7.0,11.3,61.8,1.7,3.3,51.0,1.9,4.3,45.3,0.8,1.7,46.2,0.5,1.3,38.9,1.3,2.9,43.2,3.3,8.5,38.6
157,Gary Trent Jr.,TOR,24,12.6,19.0,66.4,5.2,11.3,45.9,2.3,5.4,42.8,1.7,3.9,44.1,1.2,3.2,36.6,2.9,7.1,40.7,5.7,15.5,37.1
158,George Hill,IND,36,6.3,9.8,64.0,3.1,7.4,42.3,1.8,4.8,38.4,0.6,1.8,32.2,0.2,0.9,24.1,0.8,2.7,29.5,3.6,10.6,33.5
159,Georges Niang,PHI,29,7.6,11.2,67.9,2.3,6.2,37.1,1.7,4.4,38.8,0.6,1.7,37.5,0.5,1.4,37.1,1.1,3.0,37.3,3.3,10.4,31.4
160,Giannis Antetokounmpo,MIL,28,10.8,16.9,63.5,6.0,13.7,43.8,4.3,10.8,39.4,0.8,2.5,31.3,0.6,1.9,32.6,1.4,4.4,31.9,6.3,18.7,33.6
161,Goga Bitadze,ORL,23,3.4,5.4,62.8,0.8,2.1,38.6,0.5,1.7,30.6,0.9,1.4,61.9,0.4,1.3,29.4,1.1,2.2,47.4,1.8,5.0,36.4
162,Goran Dragic,CHI,36,6.3,9.4,66.9,2.3,4.7,49.2,1.2,3.1,40.4,0.6,1.9,30.8,0.3,1.2,29.3,0.9,2.9,30.2,2.7,7.8,34.4
163,Gordon Hayward,CHA,32,12.4,19.0,65.2,5.6,11.2,50.3,3.0,7.0,42.4,1.1,3.1,35.6,1.1,2.9,37.0,2.1,5.8,36.3,5.2,15.7,32.8
164,Gorgui Dieng,SAS,33,4.3,6.6,65.3,1.7,3.7,46.0,1.0,2.4,42.5,0.7,1.0,69.2,0.4,1.3,28.6,0.9,1.8,48.1,2.2,5.4,40.8
165,Grant Williams,BOS,24,8.9,13.6,65.3,5.2,11.1,47.2,3.5,8.1,43.9,0.6,1.8,35.6,0.6,1.7,37.4,1.3,3.6,36.5,5.4,14.7,36.4
166,Grayson Allen,MIL,27,9.2,14.4,64.0,4.9,11.2,43.8,3.5,8.2,42.3,0.8,2.3,37.1,0.7,1.8,39.1,1.5,3.9,38.0,5.3,15.0,35.2
167,Greg Brown III,POR,21,1.9,2.9,65.1,0.9,1.9,44.4,0.6,1.4,42.1,0.4,1.4,30.0,0.8,1.6,50.0,0.8,2.0,38.9,0.6,3.0,20.0
168,Hamidou Diallo,DET,24,6.5,9.8,66.2,2.5,5.5,45.8,1.2,3.1,39.9,0.8,2.1,35.7,0.4,1.3,32.1,1.1,3.1,34.4,3.0,8.8,34.5
169,Harrison Barnes,SAC,30,13.5,19.2,70.2,5.8,12.4,47.0,3.2,7.6,42.7,1.0,2.8,35.2,0.9,2.7,34.2,1.9,5.6,34.7,5.8,15.7,36.8
170,Haywood Highsmith,MIA,26,6.0,9.4,63.4,3.2,7.0,45.0,1.4,3.4,40.4,1.2,2.2,55.3,0.8,2.4,32.5,1.9,4.2,44.0,4.1,11.8,34.4
171,Herbert Jones,NOP,24,9.6,14.2,68.0,5.0,10.3,48.6,2.5,6.3,38.7,1.0,2.7,37.7,0.9,2.4,38.2,2.0,5.1,38.0,5.3,15.6,34.3
172,Immanuel Quickley,NYK,23,9.1,15.1,60.1,3.5,8.3,42.6,2.6,6.7,38.9,0.8,2.6,30.5,1.1,2.7,42.0,1.9,5.3,36.4,4.9,15.6,31.6
173,Isaac Okoro,CLE,22,7.3,11.8,62.3,3.0,6.9,43.0,2.1,5.1,41.1,0.7,1.9,39.6,0.6,1.6,37.9,1.3,3.3,38.8,3.7,9.9,37.2
174,Isaiah Hartenstein,NYK,24,6.0,10.0,59.9,2.6,6.0,42.8,2.1,4.9,42.6,0.8,2.2,33.6,0.8,1.9,44.4,1.5,3.9,38.6,3.9,11.1,35.7
175,Isaiah Jackson,IND,21,6.1,9.6,63.4,2.3,4.8,48.6,1.2,2.9,40.5,0.6,2.0,28.8,0.7,1.6,45.2,1.2,3.2,36.3,3.0,8.2,35.9
176,Isaiah Joe,OKC,23,5.6,8.5,66.1,2.6,5.7,44.7,1.0,2.5,39.8,0.6,2.0,27.7,0.6,1.7,33.8,1.0,3.4,30.4,3.0,8.4,35.2
177,Isaiah Livers,DET,24,8.3,12.2,67.8,3.2,7.3,43.9,1.6,4.1,39.7,0.6,2.0,31.9,0.7,1.6,41.2,1.2,3.4,35.8,3.8,10.6,35.6
178,Isaiah Mobley,CLE,23,1.3,1.8,72.7,0.0,0.8,0.0,0.3,1.0,28.6,-,-,-,0.0,1.0,0.0,0.0,1.0,0.0,0.5,2.6,19.0
179,Isaiah Roby,SAS,25,4.6,7.0,65.1,1.7,3.4,50.7,1.3,2.7,46.7,0.8,1.6,46.2,0.5,1.4,37.8,1.0,2.3,42.1,2.1,5.8,36.0
180,Isaiah Stewart,DET,21,10.6,15.8,66.8,5.0,10.3,48.0,2.7,6.1,43.9,1.3,3.4,39.0,0.9,2.6,34.7,2.2,5.9,37.2,5.4,14.6,37.1
181,Isaiah Todd,WAS,21,1.0,1.0,100.0,1.0,1.3,75.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,42.9
182,Ish Smith,DEN,34,3.9,5.7,67.9,1.5,3.6,41.0,0.8,2.1,37.3,0.4,1.5,27.6,0.5,1.2,45.0,0.8,2.3,34.7,1.7,5.1,32.9
183,Ish Wainright,PHX,28,5.3,8.1,66.1,2.6,5.9,43.8,1.2,3.4,34.0,0.6,1.2,45.7,0.4,1.3,31.8,0.9,2.2,38.9,2.5,8.2,30.2
184,Ivica Zubac,LAC,25,9.0,13.6,66.3,6.0,12.5,47.6,2.7,6.4,42.7,1.0,2.6,38.4,0.9,2.3,37.6,1.8,4.8,38.0,6.0,16.1,37.2
185,JD Davison,BOS,20,0.6,1.0,60.0,0.0,0.5,0.0,0.0,0.3,0.0,0.5,0.5,100,0.0,0.0,0.0,0.5,0.5,100,1.3,2.8,45.5
186,JT Thor,CHA,20,3.5,5.4,64.9,1.5,3.5,43.6,1.2,2.8,44.0,0.7,1.7,43.3,0.8,1.4,53.8,1.3,2.7,48.2,1.6,5.4,29.6
187,Ja Morant,MEM,23,11.7,19.2,61.3,4.4,11.0,39.9,2.9,7.1,40.7,1.2,2.9,41.5,1.1,2.5,44.0,2.3,5.3,42.6,6.1,18.3,33.7
188,JaMychal Green,GSW,32,4.8,7.2,67.3,3.3,6.8,48.6,1.2,2.6,45.9,0.5,1.6,33.3,0.5,1.3,35.6,0.9,2.7,34.3,3.0,8.1,37.3
189,JaVale McGee,DAL,35,3.4,5.1,67.1,1.4,2.9,49.0,1.1,2.4,44.6,0.5,1.2,42.3,0.4,1.0,41.7,0.8,1.8,42.0,1.4,3.9,35.6
190,Jabari Smith Jr.,HOU,19,10.3,15.0,68.6,4.9,10.6,46.1,2.4,5.9,40.8,1.1,2.7,39.6,1.0,2.7,37.8,2.1,5.4,38.7,6.9,18.9,36.7
191,Jabari Walker,POR,20,3.6,5.6,65.2,1.0,2.5,41.1,0.4,1.4,28.8,0.5,1.5,34.3,0.4,1.0,34.6,0.7,2.0,34.4,1.6,4.8,34.3
192,Jack White,DEN,25,1.2,1.7,70.0,0.7,1.3,57.1,0.2,0.4,50.0,0.2,0.6,33.3,0.7,0.7,100,0.5,0.8,60.0,0.7,2.0,36.4
193,Jaden Hardy,DAL,20,4.6,6.8,67.5,2.2,3.9,56.3,1.4,2.8,48.1,0.4,1.1,33.3,0.3,1.3,19.4,0.5,2.1,25.0,2.0,6.2,32.2
194,Jaden Ivey,DET,21,12.8,18.5,69.2,4.9,10.5,46.9,2.5,5.9,42.6,1.3,3.6,36.6,1.1,2.5,41.9,2.4,6.1,38.8,5.4,14.6,37.3
195,Jaden McDaniels,MIN,22,11.1,17.8,62.4,4.3,9.7,43.9,2.3,6.2,36.3,0.9,2.3,41.4,1.2,3.2,37.2,2.1,5.4,39.0,6.1,16.7,36.7
196,Jaden Springer,PHI,20,0.7,1.0,66.7,0.3,1.3,22.2,0.3,0.6,50.0,0.5,1.0,50.0,0.0,1.0,0.0,0.3,1.0,33.3,1.3,3.3,39.1
197,Jae'Sean Tate,HOU,27,7.1,10.6,67.2,3.2,7.1,44.4,1.5,3.4,45.3,0.9,2.1,42.5,0.6,1.8,31.4,1.5,3.9,37.3,4.7,13.8,33.8
198,Jake LaRavia,MEM,21,5.4,8.2,66.5,1.6,3.6,43.1,0.8,2.3,35.9,0.5,1.2,46.2,0.4,1.0,38.1,0.8,2.0,42.6,2.3,8.2,28.6
199,Jakob Poeltl,TOR,27,11.9,17.3,68.9,3.7,8.9,41.5,3.1,6.4,48.4,0.8,2.0,40.4,0.8,1.6,51.3,1.6,3.6,45.2,5.1,12.3,41.8
200,Jalen Brunson,NYK,26,12.2,18.6,65.7,4.2,9.8,42.6,3.7,8.3,44.4,1.4,3.5,41.1,1.4,3.1,44.4,2.8,6.6,42.7,6.7,19.8,34.0
201,Jalen Duren,DET,19,10.3,14.9,68.8,4.2,9.0,46.0,2.0,4.9,40.5,1.1,2.5,43.3,0.8,2.1,38.1,1.8,4.5,41.1,4.2,12.4,34.0
202,Jalen Green,HOU,21,12.4,17.7,70.0,5.3,11.2,47.4,2.6,6.5,39.2,1.2,3.1,39.0,1.1,3.0,38.0,2.3,6.1,38.5,8.2,21.7,37.9
203,Jalen Johnson,ATL,21,6.5,9.7,67.3,1.6,4.7,34.4,0.9,2.6,36.5,0.8,1.6,50.0,0.4,1.4,28.1,1.1,2.8,40.1,2.6,7.7,34.4
204,Jalen McDaniels,PHI,25,9.6,15.1,63.5,3.7,8.6,43.4,2.5,5.9,42.1,1.0,2.5,40.1,1.1,2.4,44.4,2.1,4.9,42.2,5.4,14.9,36.2
205,Jalen Smith,IND,22,7.8,12.0,64.8,2.5,5.7,43.7,1.5,3.8,39.8,0.7,2.0,36.4,0.9,1.9,45.8,1.5,3.7,40.7,3.3,9.8,34.0
206,Jalen Suggs,ORL,21,8.2,12.1,68.0,2.7,6.5,41.9,2.1,4.6,46.5,0.9,2.8,33.3,1.1,2.6,41.4,2.0,5.4,37.2,4.5,13.1,34.5
207,Jalen Williams,OKC,21,11.0,17.4,63.6,4.5,9.5,47.1,2.2,5.1,41.9,1.3,3.4,37.1,1.0,2.6,37.5,2.3,6.0,37.3,5.4,15.2,35.9
208,Jamal Cain,MIA,23,3.9,5.8,67.1,2.3,5.0,45.0,1.7,2.8,59.5,1.0,2.0,50.0,0.9,2.1,43.5,1.8,3.8,46.7,2.3,8.8,26.1
209,Jamal Murray,DEN,25,13.1,18.4,71.1,4.8,11.6,41.0,2.9,6.9,41.9,1.4,3.7,36.7,1.0,2.3,42.7,2.3,6.0,39.0,5.4,15.8,34.2
210,Jamaree Bouyea,MIA,23,5.0,7.0,71.4,5.7,8.3,68.0,0.7,2.7,25.0,1.0,2.5,40.0,0.7,0.7,100,1.3,2.3,57.1,2.7,8.0,33.3
211,James Bouknight,CHA,22,4.5,7.7,58.3,2.3,4.7,48.8,1.0,2.7,37.3,0.5,1.4,32.1,0.7,1.3,53.8,1.0,2.5,42.6,2.6,8.4,31.3
212,James Harden,PHI,33,13.1,18.7,69.8,4.1,10.8,37.6,3.9,9.2,42.5,1.2,3.4,36.0,1.0,2.4,40.6,2.2,5.8,37.9,6.5,19.0,34.3
213,James Johnson,IND,35,2.3,3.4,68.3,0.8,1.9,43.5,1.0,2.3,42.9,0.2,1.4,14.3,0.5,1.1,44.4,0.5,1.6,31.3,1.5,3.8,40.0
214,James Wiseman,DET,21,3.4,4.9,70.6,2.7,5.4,50.4,1.5,3.0,50.8,0.6,1.4,39.3,0.8,1.5,52.2,1.1,2.4,45.1,2.9,7.5,38.6
215,Jared Rhoden,DET,23,9.0,11.0,81.8,2.0,2.0,100,0.0,3.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,2.0,3.0,66.7
216,Jaren Jackson Jr.,MEM,23,8.4,15.3,54.9,3.7,9.6,38.3,2.0,5.5,36.0,0.9,2.4,38.9,0.8,2.3,36.3,1.8,4.8,37.6,5.3,15.5,34.5
217,Jarred Vanderbilt,LAL,23,9.9,14.5,68.1,4.4,9.0,48.2,2.3,4.8,47.3,0.8,1.8,44.2,0.6,1.7,34.8,1.4,3.4,39.7,4.6,12.6,36.7
218,Jarrett Allen,CLE,24,11.0,17.7,62.0,4.4,10.2,43.7,3.2,7.6,42.3,1.4,3.1,45.4,1.0,2.9,35.6,2.4,5.9,40.7,5.5,15.5,35.3
219,Jarrett Culver,ATL,23,6.8,9.3,72.6,2.0,4.9,40.9,1.0,3.1,32.0,0.3,1.3,25.0,0.7,1.5,44.4,0.9,2.4,35.3,2.9,7.1,40.8
220,Jason Preston,LAC,23,3.4,5.0,67.7,1.2,3.1,40.0,1.1,2.1,51.9,0.3,1.1,27.3,0.3,1.3,25.0,0.4,1.6,26.3,1.9,4.4,43.9
221,Javonte Green,CHI,29,5.4,9.0,60.1,2.2,5.2,42.5,1.2,3.3,36.3,0.3,1.3,23.5,0.6,1.6,34.9,0.8,2.8,29.9,3.5,8.9,39.6
222,Jaxson Hayes,NOP,22,5.2,7.2,72.9,1.6,3.8,41.8,1.3,2.9,46.2,0.6,1.7,35.4,0.8,1.4,55.6,1.2,2.7,44.0,2.6,7.8,33.2
223,Jaylen Brown,BOS,26,11.8,17.5,67.1,6.3,14.5,43.0,4.8,10.6,45.5,0.9,2.4,36.9,0.9,2.3,38.2,1.7,4.6,37.6,6.7,19.3,34.7
224,Jaylen Nowell,MIN,23,7.7,11.6,66.4,2.9,6.7,42.3,1.6,3.9,40.4,0.7,1.8,35.6,0.7,1.9,38.9,1.3,3.5,37.3,3.6,9.9,36.0
225,Jaylin Williams,OKC,20,6.0,8.4,71.8,2.3,5.3,43.8,1.3,2.9,44.9,0.9,1.9,45.7,0.3,1.1,30.0,1.0,2.5,40.0,3.2,8.6,37.2
226,Jayson Tatum,BOS,24,11.3,17.4,65.1,6.9,15.6,44.3,4.8,10.5,45.9,0.9,2.6,36.0,0.9,2.5,36.0,1.8,5.1,36.0,7.2,21.0,34.2
227,Jeff Dowtin Jr.,TOR,25,2.3,3.7,62.5,0.8,2.3,36.7,0.6,1.3,47.1,0.6,1.8,31.3,0.4,1.2,33.3,0.7,2.2,32.1,1.2,3.3,36.0
228,Jeff Green,DEN,36,7.7,10.4,73.6,2.8,7.0,40.1,1.4,3.6,37.7,0.7,2.4,29.4,0.6,1.3,48.9,1.3,3.7,36.4,3.4,9.9,34.0
229,Jerami Grant,POR,28,14.8,22.5,65.7,4.7,11.1,42.4,3.4,8.2,41.0,1.3,3.2,40.4,1.1,3.1,34.7,2.4,6.3,37.6,6.5,16.9,38.7
230,Jeremiah Robinson-Earl,OKC,22,8.4,13.4,63.2,3.9,8.1,47.3,1.0,3.3,29.2,1.0,2.3,43.3,0.9,2.2,40.7,1.9,4.4,42.0,4.2,10.3,41.0
231,Jeremy Sochan,SAS,19,11.3,16.7,67.3,3.6,8.0,45.5,3.3,6.5,50.2,0.9,2.1,43.3,0.8,1.7,49.4,1.7,3.7,46.0,5.2,13.0,40.2
232,Jericho Sims,NYK,24,5.2,8.0,65.1,2.3,5.4,42.3,1.9,3.9,48.9,0.7,1.4,50.0,0.6,1.6,40.9,1.2,2.7,45.1,3.3,9.4,34.7
233,Jevon Carter,MIL,27,7.3,11.4,64.1,4.2,9.4,44.8,2.4,6.5,37.1,0.4,1.4,29.9,0.6,1.5,40.2,1.0,2.8,35.2,4.0,11.8,34.0
234,Jimmy Butler,MIA,33,11.0,15.5,70.5,5.4,11.0,48.8,2.7,6.8,39.1,1.6,4.0,39.0,1.6,3.7,44.6,3.2,7.7,41.6,5.8,16.0,36.4
235,Jock Landale,PHX,27,5.1,7.8,65.0,2.2,5.3,42.2,0.8,2.5,32.8,0.5,1.2,44.4,0.4,1.2,32.7,0.8,2.2,38.7,2.3,7.0,33.5
236,Joe Harris,BKN,31,8.9,13.7,65.4,3.6,9.6,37.2,2.3,5.3,42.7,0.7,1.9,38.9,1.0,2.0,49.0,1.7,3.9,44.0,4.1,11.9,34.9
237,Joe Ingles,MIL,35,8.2,12.8,64.2,3.5,8.4,42.1,2.5,6.4,39.2,0.4,1.8,23.3,0.7,1.7,42.5,1.1,3.5,32.5,4.3,11.6,37.3
238,Joe Wieskamp,TOR,23,3.5,6.0,58.3,0.5,1.5,33.3,0.5,1.5,33.3,1.0,2.0,50.0,0.5,1.0,50.0,1.5,3.0,50.0,1.5,5.5,27.3
239,Joel Embiid,PHI,28,12.1,18.0,67.4,4.4,11.0,39.9,4.0,9.2,44.1,1.0,2.7,35.9,0.9,2.3,40.0,1.9,4.9,37.8,6.0,18.3,32.7
240,John Butler Jr.,POR,20,1.3,1.9,69.2,0.4,1.2,33.3,0.4,1.1,37.5,0.3,1.0,33.3,1.0,1.0,100,0.5,1.0,50.0,0.1,1.1,11.1
241,John Collins,ATL,25,12.6,18.9,66.7,4.9,10.9,45.2,3.4,7.6,44.5,1.0,2.8,35.3,0.9,2.6,34.1,1.9,5.3,34.7,5.4,16.0,33.8
242,John Konchar,MEM,26,8.5,13.9,60.8,2.8,7.6,37.2,1.8,4.5,40.1,0.8,1.8,44.3,0.8,1.9,39.3,1.4,3.5,41.7,4.4,13.2,33.5
243,John Wall,LAC,32,8.1,11.6,69.7,3.7,9.5,38.8,1.7,4.1,41.1,0.8,2.3,34.2,0.6,1.6,38.9,1.4,3.9,36.1,4.3,12.4,34.4
244,Johnny Davis,WAS,20,1.2,1.7,72.7,0.6,1.3,47.1,0.2,0.6,25.0,0.1,0.4,33.3,0.2,0.6,33.3,0.2,0.6,33.3,0.8,2.7,28.6
245,Jonas Valanciunas,NOP,30,8.9,12.7,70.1,3.8,8.3,45.9,2.2,5.5,40.6,0.9,2.5,38.3,0.9,2.4,38.1,1.8,4.8,38.2,4.6,13.7,34.0
246,Jonathan Isaac,ORL,25,3.2,4.4,72.7,1.6,4.1,39.0,1.0,2.0,50.0,0.2,1.6,12.5,0.6,1.3,50.0,0.7,2.6,26.9,2.5,5.5,45.5
247,Jonathan Kuminga,GSW,20,5.5,8.3,66.8,4.4,8.9,49.4,1.9,4.0,47.3,0.6,1.9,31.6,0.6,1.7,36.5,1.2,3.4,34.0,3.9,10.2,38.0
248,Jordan Clarkson,UTA,30,12.5,19.1,65.3,6.3,13.7,46.2,3.0,6.9,43.1,0.9,2.6,35.8,0.9,2.1,43.0,1.9,4.8,39.0,6.0,16.5,36.2
249,Jordan Goodwin,WAS,24,6.2,9.5,65.4,2.9,7.5,39.3,2.0,4.2,46.8,0.4,1.0,42.9,0.5,1.4,34.9,0.8,2.2,38.5,3.6,10.3,34.8
250,Jordan Hall,SAS,21,3.6,5.3,66.7,1.3,2.4,54.5,0.3,1.9,13.3,1.2,1.2,100,0.4,0.8,50.0,1.1,1.4,80.0,1.8,4.7,38.1
251,Jordan McLaughlin,MIN,26,5.5,8.7,63.3,2.2,5.8,37.6,1.2,2.8,41.5,0.6,1.7,36.4,0.7,1.7,43.8,1.2,3.1,40.0,2.5,7.8,32.4
252,Jordan Nwora,IND,24,5.7,8.5,67.2,3.1,6.6,46.3,1.8,4.3,42.5,0.4,1.2,32.4,0.4,0.9,37.9,0.6,1.7,34.8,3.0,8.3,36.3
253,Jordan Poole,GSW,23,8.7,12.9,67.6,7.4,15.3,48.4,2.8,7.0,40.4,1.2,3.0,39.4,1.1,2.7,39.6,2.2,5.7,39.5,5.7,16.4,34.5
254,Jordan Schakel,WAS,24,1.0,1.0,100.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0
255,Jose Alvarado,NOP,24,8.3,11.4,72.4,2.6,6.5,40.5,2.0,5.0,39.8,0.7,2.2,30.1,0.8,2.0,41.7,1.4,4.1,35.5,3.8,11.3,33.9
256,Josh Christopher,HOU,21,3.7,5.3,70.6,1.6,3.6,43.6,0.8,1.7,45.3,0.5,1.2,43.2,0.4,1.0,42.9,0.8,1.9,43.1,2.3,5.9,39.6
257,Josh Giddey,OKC,20,12.8,19.5,65.3,4.6,10.3,44.9,2.3,5.5,41.3,1.3,3.4,39.0,0.9,2.8,31.9,2.2,6.1,35.8,5.9,15.9,37.3
258,Josh Green,DAL,22,7.9,11.5,68.6,4.0,8.6,46.3,2.4,5.8,41.2,1.0,2.4,40.4,0.7,2.0,35.5,1.7,4.4,38.2,4.1,11.6,35.2
259,Josh Hart,NYK,27,13.7,20.8,66.0,4.4,10.5,42.0,3.0,7.4,40.7,1.2,3.0,39.9,0.8,2.8,29.9,2.0,5.7,35.1,5.8,15.6,36.8
260,Josh Minott,MIN,20,2.6,4.0,65.0,1.0,3.0,33.3,0.9,2.4,36.8,0.2,1.0,16.7,0.5,2.0,25.0,0.4,2.0,21.4,1.2,3.1,38.2
261,Josh Okogie,PHX,24,5.1,8.1,63.0,2.4,5.3,45.9,1.1,3.1,35.4,0.5,1.2,43.2,0.5,1.6,34.0,0.9,2.3,38.1,2.4,7.5,31.6
262,Josh Richardson,NOP,29,9.8,14.8,66.4,3.8,8.3,46.5,2.7,5.9,45.1,0.8,1.8,44.2,0.7,1.6,42.9,1.5,3.4,43.5,4.6,12.3,37.5
263,Joshua Primo,SAS,20,9.5,17.0,55.9,2.3,5.3,42.9,3.0,5.5,54.5,1.0,1.5,66.7,0.3,1.7,20.0,1.3,2.8,45.5,4.3,13.3,32.1
264,Jrue Holiday,MIL,32,10.5,16.8,62.6,5.5,12.9,42.4,4.2,9.7,43.4,1.0,2.8,35.2,0.8,2.3,33.7,1.7,5.0,34.5,6.7,18.8,35.9
265,Juan Toscano-Anderson,UTA,29,4.5,6.9,65.5,2.0,4.7,41.9,1.8,3.7,50.0,0.5,1.4,36.4,0.4,1.2,31.8,0.7,2.1,34.5,2.6,7.2,35.6
266,Juancho Hernangomez,TOR,27,5.6,7.6,73.8,2.0,4.2,48.3,1.4,3.0,47.1,1.0,2.4,42.2,0.7,2.0,35.2,1.6,4.1,39.0,2.5,7.3,33.7
267,Julian Champagnie,PHI,21,1.0,1.0,100.0,0.0,0.0,0.0,0.5,1.0,50.0,-,-,-,1.0,1.0,100,1.0,1.0,100,2.0,4.0,50.0
268,Julius Randle,NYK,28,12.4,19.0,65.5,4.5,9.7,45.8,3.6,8.5,42.3,1.4,3.7,36.9,1.5,3.4,43.3,2.8,7.1,40.0,6.7,20.0,33.7
269,Justin Champagnie,TOR,21,1.3,1.3,100.0,0.3,1.0,33.3,0.7,1.0,66.7,0.0,1.0,0.0,1.0,1.0,100,0.5,1.0,50.0,0.7,1.7,40.0
