,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
1,AJ Green,MIL,26,20,6,9.4,4.7,11.7,7.2,0.5,2.54,1.78,0.398,0.1,0.0,0.3,0.0,0.0,0.889
2,AJ Griffin,ATL,55,25,30,20.4,9.3,22.1,15.1,0.8,2.05,1.47,0.424,0.5,0.0,0.6,0.852,2.0,0.943
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,42.8,23.7,2.1,2.95,2.12,0.405,1.8,2.3,7.0,0.478,0.757,1.185
4,Aaron Holiday,ATL,50,26,24,14.5,4.2,21.1,8.5,1.4,4.0,3.62,0.2,0.1,0.0,0.4,0.286,0.0,0.571
5,Aaron Nesmith,IND,53,22,31,24.5,9.8,34.5,20.2,0.9,1.61,0.76,0.285,0.4,0.0,1.1,0.857,0.0,0.857
6,Aaron Wiggins,OKC,46,25,21,18.4,6.4,21.1,13.6,0.7,1.91,1.27,0.304,0.6,0.0,1.9,0.357,2.0,0.831
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,20.0,9.3,0.6,1.7,0.79,0.228,0.5,0.0,1.0,0.615,0.0,0.821
8,Al Horford,BOS,45,32,13,30.7,9.3,46.3,25.6,1.2,1.56,0.48,0.2,1.2,1.1,2.8,0.283,0.367,0.547
9,Alec Burks,DET,45,12,33,22.1,13.0,34.6,21.2,1.8,3.08,2.39,0.377,0.3,0.3,0.4,0.533,0.615,0.563
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,44.4,24.2,1.2,1.6,0.75,0.199,1.6,0.0,3.4,0.608,0.0,0.724
11,Alex Caruso,CHI,48,19,29,24.3,5.6,46.2,18.6,2.1,2.73,1.99,0.121,0.8,0.0,1.2,0.2,0.0,0.593
12,Alex Len,SAC,13,8,5,3.5,1.0,6.5,3.5,0.2,1.51,0.41,0.155,1.3,0.0,0.8,0.353,0.0,0.818
13,Alize Johnson,SAS,4,1,3,7.4,1.8,11.5,5.5,0.5,2.7,1.98,0.152,0.0,0.3,1.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,9.0,3.0,0.4,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,53,10,43,28.3,15.1,53.8,37.3,2.2,2.42,1.25,0.281,5.4,4.2,7.3,0.575,0.538,0.76
16,Amir Coffey,LAC,40,21,19,14.3,4.0,15.5,11.3,0.7,2.53,1.71,0.259,0.2,0.0,0.3,0.167,0.0,0.333
17,Andre Drummond,CHI,46,19,27,12.9,6.4,18.4,11.7,0.4,1.43,0.48,0.349,1.8,0.4,4.7,0.624,0.55,0.963
18,Andre Iguodala,GSW,2,0,2,12.2,1.0,21.0,10.5,0.6,1.81,0.62,0.048,1.0,0.0,1.0,0.0,0.0,1.0
19,Andrew Nembhard,IND,53,23,30,27.1,8.1,44.2,23.0,2.5,3.37,3.04,0.183,0.5,0.0,0.6,0.48,0.0,0.5
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,46.2,31.6,1.8,2.28,1.48,0.371,0.7,1.7,3.3,0.808,0.581,0.992
21,Anfernee Simons,POR,56,27,29,35.5,21.4,69.2,33.2,5.5,4.77,4.17,0.309,0.3,0.0,0.6,1.188,0.0,0.938
22,Anthony Davis,LAL,35,16,19,33.4,26.0,67.9,37.1,2.3,2.04,0.79,0.383,5.0,5.5,11.3,0.747,0.728,1.199
23,Anthony Edwards,MIN,61,31,30,36.2,24.9,73.0,36.6,4.9,4.03,3.51,0.341,0.5,0.6,0.9,0.656,0.703,0.877
24,Anthony Gill,WAS,41,17,24,10.0,3.1,10.0,6.5,0.3,1.65,0.62,0.315,0.5,0.0,1.2,0.6,0.0,1.306
25,Anthony Lamb,GSW,42,22,20,19.3,7.1,32.7,17.4,1.0,1.79,0.92,0.216,0.6,0.4,1.8,0.423,0.0,0.573
26,Austin Reaves,LAL,41,19,22,27.9,10.5,35.5,20.0,1.7,2.92,2.32,0.295,0.7,0.0,1.1,0.444,0.0,0.63
27,Austin Rivers,MIN,46,23,23,20.8,5.4,24.4,14.0,1.2,3.03,2.41,0.22,0.1,0.0,0.1,1.0,0.0,0.667
28,Ayo Dosunmu,CHI,56,25,31,28.5,9.5,48.6,18.6,2.8,3.48,3.17,0.195,0.3,0.0,0.7,1.0,0.0,1.024
29,Bam Adebayo,MIA,54,29,25,35.3,21.6,65.0,37.8,3.1,2.84,1.59,0.332,7.1,2.7,8.0,0.707,0.628,0.919
30,Ben Simmons,BKN,42,24,18,26.3,6.9,61.4,21.5,3.5,3.42,2.35,0.113,2.3,1.1,4.0,0.344,0.444,0.846
31,Bennedict Mathurin,IND,60,26,34,28.2,17.2,42.3,28.8,1.7,2.48,1.69,0.407,1.2,0.1,1.9,1.0,0.333,0.991
32,Bismack Biyombo,PHX,46,25,21,13.9,3.8,23.1,13.6,0.6,1.59,0.49,0.164,2.5,0.9,4.5,0.35,0.325,0.662
33,Blake Griffin,BOS,26,17,9,14.4,4.9,21.0,12.8,0.6,1.68,0.68,0.235,1.2,0.5,2.2,0.6,0.571,0.825
34,Blake Wesley,SAS,14,2,12,13.5,4.4,26.4,8.9,2.1,4.84,4.46,0.165,0.3,0.0,0.6,0.75,0.0,0.5
35,Boban Marjanovic,HOU,19,1,18,4.4,2.9,5.7,3.8,0.2,2.2,0.92,0.519,0.5,1.2,1.1,1.3,1.091,1.55
36,Bobby Portis,MIL,47,30,17,26.8,14.4,52.6,26.7,1.6,1.78,0.74,0.274,1.6,3.2,4.6,0.581,0.664,0.889
37,Bogdan Bogdanovic,ATL,34,16,18,29.8,14.6,43.0,26.5,2.0,2.8,2.01,0.339,0.8,0.1,0.6,0.444,0.5,0.571
