,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,26,9.4,20,6,0.2,0.0,0.9,0.8,1.1,75.9
2,AJ Griffin,ATL,55,20.4,25,30,0.7,0.1,1.6,1.6,2.1,77.4
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,50,14.5,26,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,54,24.7,22,32,0.8,0.4,2.9,1.7,2.7,62.5
6,Aaron Wiggins,OKC,46,18.4,25,21,0.5,0.2,2.1,1.3,2.1,59.2
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,46,30.7,33,13,0.5,0.9,5.0,2.5,4.6,54.8
9,Alec Burks,DET,46,22.0,12,34,0.8,0.2,2.6,1.8,2.6,72.0
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,48,24.3,19,29,1.6,0.6,2.5,1.3,2.1,63.4
12,Alex Len,SAC,14,3.4,9,5,0.0,0.0,0.8,0.4,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,53,28.3,10,43,0.8,1.0,5.6,3.9,6.1,64.7
16,Amir Coffey,LAC,40,14.3,21,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,46,12.9,19,27,0.7,0.3,4.6,1.5,2.2,65.0
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,54,27.0,23,31,1.0,0.2,2.2,1.3,2.0,64.5
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,56,35.5,27,29,0.7,0.2,2.4,2.4,3.2,73.9
22,Anthony Davis,LAL,36,33.2,17,19,1.1,2.0,9.1,3.9,6.9,56.4
23,Anthony Edwards,MIN,61,36.2,31,30,1.6,0.6,5.3,2.2,3.0,71.7
24,Anthony Gill,WAS,41,10.0,17,24,0.1,0.2,0.9,0.7,1.1,63.8
25,Anthony Lamb,GSW,43,19.5,22,21,0.5,0.3,2.4,2.4,3.5,69.3
26,Austin Reaves,LAL,42,27.7,20,22,0.5,0.4,2.4,1.8,2.4,77.0
27,Austin Rivers,MIN,46,20.8,23,23,0.6,0.1,1.6,0.8,1.0,78.7
28,Ayo Dosunmu,CHI,56,28.5,25,31,0.7,0.4,2.4,1.6,2.4,65.2
29,Bam Adebayo,MIA,54,35.3,29,25,1.2,0.8,7.3,2.7,4.2,63.2
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,61,28.2,26,35,0.6,0.1,3.0,1.8,2.6,69.0
32,Bismack Biyombo,PHX,46,14.0,25,21,0.3,1.3,3.0,1.6,3.6,44.0
33,Blake Griffin,BOS,26,14.4,17,9,0.3,0.2,2.5,1.2,1.7,71.1
34,Blake Wesley,SAS,15,14.0,2,13,0.4,0.1,1.3,0.9,1.1,81.3
35,Boban Marjanovic,HOU,19,4.4,1,18,0.1,0.1,1.1,0.4,0.5,70.0
36,Bobby Portis,MIL,47,26.8,30,17,0.5,0.2,7.5,2.4,3.4,70.4
37,Bogdan Bogdanovic,ATL,34,29.8,16,18,0.9,0.3,2.9,1.9,2.6,75.0
38,Bojan Bogdanovic,DET,56,32.0,15,41,0.6,0.1,3.1,1.9,2.6,76.2
39,Bol Bol,ORL,55,23.0,22,33,0.4,1.3,5.1,2.0,3.0,66.9
40,Bones Hyland,LAC,44,19.4,30,14,0.7,0.3,1.8,1.6,1.9,84.3
41,Bradley Beal,WAS,36,32.9,20,16,0.9,0.6,2.7,1.5,2.1,70.7
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,52,19.9,29,23,0.6,0.7,3.9,1.8,3.2,55.5
44,Brandon Ingram,NOP,25,32.3,12,13,0.7,0.5,4.6,1.5,2.3,63.8
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,57,30.3,40,17,0.5,2.4,4.6,4.0,7.7,51.7
47,Bruce Brown,DEN,59,28.7,42,17,1.1,0.6,3.1,1.8,2.6,69.9
48,Bruno Fernando,ATL,32,11.5,9,23,0.2,1.0,2.3,1.5,2.5,58.0
49,Bryce McGowens,CHA,26,14.7,8,18,0.3,0.2,1.3,0.7,1.0,68.0
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,61,32.1,26,35,1.1,0.3,4.1,2.5,3.6,69.7
53,CJ McCollum,NOP,53,35.0,26,27,1.0,0.6,3.6,2.3,2.9,79.4
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
