,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,12,5,7,4.2,0.7,0.3,50.0,1.2,57.1,0.2,66.7,5.5
1,AJ Green,MIL,25,19,6,8.9,1.0,0.4,34.6,2.1,50.0,0.2,54.2,8.1
2,AJ Griffin,ATL,53,25,28,20.6,2.0,0.5,24.1,3.8,54.3,0.2,57.4,8.8
3,Aaron Gordon,DEN,49,35,14,30.3,6.9,3.1,45.8,11.0,62.3,0.6,65.9,5.8
4,Aaron Holiday,ATL,49,26,23,14.6,1.3,0.3,21.9,2.7,47.8,0.2,51.6,9.8
5,Aaron Nesmith,IND,51,21,30,24.3,3.6,1.1,30.6,7.8,46.6,0.7,51.5,6.9
6,Aaron Wiggins,OKC,44,24,20,18.7,3.3,1.4,43.4,6.0,54.2,0.5,58.8,7.2
7,Admiral Schofield,ORL,27,11,16,13.0,1.9,0.8,40.4,4.8,40.3,0.3,43.3,6.5
8,Al Horford,BOS,43,30,13,30.8,6.1,2.1,34.1,10.5,58.4,1.0,64.4,6.4
9,Alec Burks,DET,43,12,31,22.0,3.0,0.8,25.8,5.0,59.5,0.2,62.1,7.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,47,19,28,24.2,3.2,0.6,18.8,5.8,54.4,0.4,58.9,9.5
12,Alex Len,SAC,13,8,5,3.5,1.2,0.5,40.0,1.9,60.0,0.0,60.0,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,51,10,41,28.3,8.7,4.1,46.4,16.0,54.5,1.3,59.2,5.3
16,Amir Coffey,LAC,39,20,19,14.6,1.3,0.3,21.6,2.7,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,43,19,24,12.9,6.7,3.7,54.3,9.7,69.3,0.4,72.3,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,51,22,29,27.3,2.8,0.6,20.3,5.1,55.0,0.4,60.1,10.1
20,Andrew Wiggins,GSW,35,17,18,32.1,5.0,1.6,32.8,9.7,51.2,0.7,55.4,7.1
21,Anfernee Simons,POR,54,26,28,35.9,2.7,0.6,21.4,4.9,54.5,0.4,59.7,9.4
22,Anthony Davis,LAL,33,15,18,33.5,12.2,6.9,56.6,19.6,62.0,1.4,66.6,4.5
23,Anthony Edwards,MIN,59,30,29,36.2,5.9,1.3,21.4,10.1,58.7,0.7,63.2,6.8
24,Anthony Gill,WAS,39,16,23,10.2,1.4,0.5,35.7,2.8,50.9,0.2,55.4,6.1
25,Anthony Lamb,GSW,41,22,19,19.2,3.2,1.1,34.8,6.9,47.0,0.7,52.0,6.4
26,Austin Reaves,LAL,39,18,21,28.1,3.0,0.4,11.9,6.0,50.4,0.7,57.0,9.3
27,Austin Rivers,MIN,44,22,22,21.1,1.8,0.2,12.8,3.2,55.7,0.2,60.0,9.7
28,Ayo Dosunmu,CHI,53,25,28,28.0,3.0,0.7,21.9,5.6,53.7,0.7,60.8,10.2
29,Bam Adebayo,MIA,52,29,23,35.3,10.1,4.4,44.1,16.9,59.7,1.0,63.7,5.7
30,Ben Simmons,BKN,40,23,17,26.8,6.4,1.9,29.3,10.1,63.5,0.7,68.3,6.3
31,Bennedict Mathurin,IND,58,25,33,28.2,4.1,1.2,29.8,8.0,51.5,0.5,55.1,8.2
32,Bismack Biyombo,PHX,45,25,20,14.0,4.1,1.7,42.6,7.8,52.1,0.6,56.3,5.0
33,Blake Griffin,BOS,24,16,8,13.4,3.3,1.5,46.2,5.9,55.3,0.5,60.9,5.2
34,Blake Wesley,SAS,12,2,10,12.8,1.3,0.3,25.0,2.5,53.3,0.1,55.2,6.8
35,Boban Marjanovic,HOU,17,1,16,4.2,1.5,0.6,42.3,2.8,55.3,0.2,60.5,3.7
36,Bobby Portis,MIL,47,30,17,26.8,10.1,3.6,35.7,16.0,62.8,1.1,67.3,5.1
37,Bogdan Bogdanovic,ATL,32,16,16,30.0,3.3,0.7,19.6,6.1,54.6,0.6,60.8,8.3
38,Bojan Bogdanovic,DET,53,15,38,31.9,3.6,0.7,19.5,6.8,53.1,0.5,57.1,8.9
39,Bol Bol,ORL,52,20,32,23.5,6.3,1.7,26.7,9.0,69.4,0.5,73.4,5.4
40,Bones Hyland,LAC,42,28,14,19.5,2.0,0.5,22.1,4.0,51.5,0.3,55.5,8.3
41,Bradley Beal,WAS,33,18,15,32.7,3.5,1.0,27.6,6.7,52.7,0.4,56.0,8.5
42,Brandon Boston Jr.,LAC,20,7,13,12.2,1.5,0.5,31.0,3.0,49.2,0.2,51.8,7.7
43,Brandon Clarke,MEM,49,28,21,19.7,5.6,2.7,47.6,10.9,51.3,0.7,54.9,5.2
44,Brandon Ingram,NOP,22,11,11,32.1,5.0,1.3,26.1,8.5,59.7,0.7,64.9,7.2
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,55,38,17,30.4,6.6,3.5,52.5,12.2,54.0,1.1,59.2,6.2
47,Bruce Brown,DEN,56,39,17,28.7,3.9,1.1,27.5,7.5,51.8,0.6,56.3,6.8
48,Bruno Fernando,ATL,31,9,22,11.7,3.9,1.6,41.8,8.2,48.0,0.6,51.7,5.0
49,Bryce McGowens,CHA,24,6,18,14.1,1.8,0.5,26.2,2.8,63.6,0.1,65.6,8.4
50,Bryn Forbes,MIN,25,9,16,10.7,0.6,0.2,33.3,1.2,50.0,0.0,51.7,11.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,58,25,33,32.1,5.0,0.9,17.7,9.2,53.9,0.8,59.3,8.4
53,CJ McCollum,NOP,51,26,25,35.0,4.3,0.7,15.9,7.3,59.3,0.4,62.7,9.8
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
55,Caleb Houstan,ORL,32,11,21,16.4,2.3,0.7,31.5,4.7,49.0,0.4,53.7,8.0
56,Caleb Martin,MIA,47,26,21,30.3,5.2,1.3,25.3,9.3,55.9,0.9,61.6,8.4
57,Cam Reddish,POR,21,9,12,21.7,1.6,0.4,24.2,3.2,49.3,0.3,55.0,11.7
58,Cam Thomas,BKN,39,24,15,16.4,1.7,0.3,18.2,3.8,44.9,0.5,51.2,8.0
59,Cameron Johnson,BKN,18,13,5,25.4,4.0,1.1,26.4,7.0,57.1,0.6,62.1,7.7
60,Cameron Payne,PHX,28,15,13,24.0,2.3,0.3,12.5,4.5,50.8,0.4,55.2,9.7
61,Caris LeVert,CLE,53,32,21,30.7,4.0,1.0,25.5,6.5,61.6,0.5,66.7,8.1
62,Cedi Osman,CLE,57,36,21,21.2,2.2,0.5,20.5,4.2,53.4,0.4,58.8,8.5
63,Charles Bassey,SAS,24,5,19,13.6,5.2,2.0,38.4,8.8,59.5,0.7,64.4,4.8
64,Chima Moneke,SAC,2,1,1,4.0,1.0,0.0,0.0,2.0,50.0,0.0,50.0,11.2
65,Chimezie Metu,SAC,43,25,18,10.8,3.1,1.1,37.1,5.2,59.5,0.3,63.5,4.4
66,Chris Boucher,TOR,51,24,27,20.8,5.9,2.9,48.8,10.3,57.3,0.7,61.3,4.3
