,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,4.8,1.6,0.5,1.2,46.7,0.5,1.2,46.7,70.0
1,AJ Green,MIL,26,9.4,3.2,1.1,2.2,48.3,1.1,2.2,48.3,72.4
2,AJ Griffin,ATL,55,20.4,3.5,1.2,3.1,38.0,1.1,3.0,36.8,55.6
3,Aaron Gordon,DEN,49,30.3,1.9,0.7,1.8,36.8,0.6,1.5,37.3,52.9
4,Aaron Holiday,ATL,50,14.5,1.5,0.5,1.2,42.4,0.5,1.2,42.4,63.6
5,Aaron Nesmith,IND,53,24.5,3.9,1.3,3.8,35.0,1.3,3.7,34.7,52.0
6,Aaron Wiggins,OKC,46,18.4,2.0,0.7,1.6,40.0,0.7,1.6,40.5,60.0
7,Admiral Schofield,ORL,27,13.0,2.0,0.7,1.9,36.0,0.7,1.9,36.0,54.0
8,Al Horford,BOS,45,30.7,6.0,2.0,5.0,40.8,2.0,4.7,41.8,60.8
9,Alec Burks,DET,46,22.1,3.1,1.0,2.3,44.9,1.0,2.3,45.2,66.8
10,Aleksej Pokusevski,OKC,31,21.9,3.8,1.3,3.3,38.8,1.2,3.1,38.5,56.8
11,Alex Caruso,CHI,49,24.3,2.3,0.8,2.0,40.2,0.8,1.9,39.8,59.3
12,Alex Len,SAC,13,3.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,53,28.3,0.8,0.3,0.9,35.4,0.2,0.5,34.5,45.8
16,Amir Coffey,LAC,40,14.3,0.7,0.3,0.8,31.3,0.2,0.8,30.0,45.3
17,Andre Drummond,CHI,46,12.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,3,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,53,27.1,2.8,0.9,2.7,34.5,0.9,2.6,33.8,50.7
20,Andrew Wiggins,GSW,37,32.2,6.6,2.2,5.2,43.0,2.1,5.0,42.5,63.5
21,Anfernee Simons,POR,56,35.5,6.1,2.0,5.1,40.0,2.0,5.1,39.9,59.8
22,Anthony Davis,LAL,35,33.4,1.9,0.8,2.5,30.7,0.4,1.3,28.3,38.1
23,Anthony Edwards,MIN,61,36.2,3.4,1.1,2.7,42.9,1.1,2.5,42.6,63.2
24,Anthony Gill,WAS,41,10.0,0.3,0.1,0.4,25.0,0.1,0.4,20.0,34.4
25,Anthony Lamb,GSW,43,19.5,3.6,1.2,3.1,40.2,1.2,3.0,39.1,59.1
26,Austin Reaves,LAL,41,27.9,3.1,1.1,2.8,38.6,1.0,2.7,37.3,56.6
27,Austin Rivers,MIN,46,20.8,2.3,0.8,2.0,37.2,0.8,2.0,37.2,55.9
28,Ayo Dosunmu,CHI,57,28.4,2.4,0.8,2.5,32.9,0.8,2.5,32.1,48.6
29,Bam Adebayo,MIA,54,35.3,1.8,0.9,2.0,44.5,0.0,0.1,12.5,45.0
30,Ben Simmons,BKN,42,26.3,0.1,0.0,0.1,40.0,0.0,0.0,-,40.0
31,Bennedict Mathurin,IND,60,28.2,2.4,0.8,2.7,29.8,0.8,2.5,30.0,43.8
32,Bismack Biyombo,PHX,46,13.9,0.1,0.1,0.2,33.3,-,-,-,33.3
33,Blake Griffin,BOS,26,14.4,2.1,0.7,1.6,43.9,0.7,1.5,45.0,65.9
34,Blake Wesley,SAS,15,13.1,1.4,0.5,1.1,41.2,0.5,1.1,41.2,61.8
35,Boban Marjanovic,HOU,19,4.4,0.1,0.1,0.2,33.3,0.0,0.1,0.0,33.3
36,Bobby Portis,MIL,47,26.8,4.4,1.6,4.1,39.6,1.2,3.4,35.2,54.4
37,Bogdan Bogdanovic,ATL,34,29.8,6.1,2.1,5.5,39.2,1.8,4.9,37.1,55.9
38,Bojan Bogdanovic,DET,56,32.1,5.7,2.0,4.2,47.2,1.8,3.9,45.2,68.7
39,Bol Bol,ORL,54,23.2,1.1,0.4,1.1,34.5,0.3,1.0,32.7,49.1
40,Bones Hyland,LAC,44,19.4,3.0,1.0,2.6,38.6,1.0,2.5,39.3,57.9
41,Bradley Beal,WAS,36,32.9,3.8,1.4,3.2,43.9,1.1,2.6,40.9,60.5
42,Brandon Boston Jr.,LAC,21,11.7,0.7,0.2,0.8,31.3,0.2,0.7,35.7,46.9
43,Brandon Clarke,MEM,51,20.0,0.9,0.5,0.9,48.9,0.0,0.1,16.7,50.0
44,Brandon Ingram,NOP,24,32.2,3.8,1.3,3.2,41.6,1.1,2.7,41.5,59.1
45,Braxton Key,DET,3,3.0,0.0,0.0,0.0,-,-,-,-,-
46,Brook Lopez,MIL,57,30.3,5.5,1.9,4.9,38.3,1.7,4.4,38.6,55.5
47,Bruce Brown,DEN,58,28.8,3.7,1.2,3.1,39.9,1.2,3.0,40.2,59.6
48,Bruno Fernando,ATL,32,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,26,14.7,1.3,0.4,1.1,37.9,0.4,1.0,40.7,56.9
50,Bryn Forbes,MIN,25,10.7,1.2,0.4,1.4,29.4,0.4,1.3,31.3,44.1
51,Buddy Boeheim,DET,1,1.0,0.0,0.0,0.0,-,-,-,-,-
52,Buddy Hield,IND,60,32.0,8.2,2.8,6.5,42.2,2.7,6.5,42.4,63.2
53,CJ McCollum,NOP,52,35.0,4.9,1.7,4.4,37.9,1.6,4.1,39.4,56.4
54,Cade Cunningham,DET,12,33.3,2.4,0.8,2.7,31.3,0.8,2.3,33.3,45.3
55,Caleb Houstan,ORL,34,16.1,2.9,1.0,2.6,37.5,0.9,2.4,37.8,55.1
56,Caleb Martin,MIA,49,30.3,3.2,1.1,3.3,34.2,0.9,2.9,32.9,48.4
57,Cam Reddish,POR,23,22.1,2.8,1.0,2.7,34.9,0.9,2.6,33.3,50.8
58,Cam Thomas,BKN,41,16.6,1.1,0.4,0.8,48.5,0.3,0.7,44.8,68.2
59,Cameron Johnson,BKN,20,25.9,7.0,2.4,5.7,41.6,2.3,5.5,42.2,61.9
60,Cameron Payne,PHX,28,24.0,2.8,0.9,2.7,34.2,0.9,2.7,34.2,51.3
61,Caris LeVert,CLE,55,30.4,3.0,1.0,2.6,37.9,1.0,2.6,37.9,56.9
62,Carlik Jones,CHI,2,11.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
63,Cedi Osman,CLE,58,21.0,3.4,1.2,3.3,34.9,1.1,3.3,34.4,51.8
64,Charles Bassey,SAS,26,13.6,0.3,0.2,0.5,33.3,0.0,0.2,25.0,37.5
65,Chima Moneke,SAC,2,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,44,10.8,0.6,0.2,0.7,29.0,0.2,0.6,28.6,41.9
67,Chris Boucher,TOR,53,20.8,2.5,0.8,2.6,33.1,0.8,2.4,32.8,48.5
68,Chris Duarte,IND,36,19.3,2.0,0.7,2.2,30.8,0.6,2.1,30.3,45.5
69,Chris Paul,PHX,39,32.0,2.1,0.7,1.3,51.9,0.7,1.3,52.0,76.9
70,Chris Silva,DAL,1,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,54,15.5,1.0,0.4,1.0,34.5,0.3,0.9,35.3,50.9
72,Christian Koloko,TOR,45,14.6,0.2,0.1,0.3,21.4,0.0,0.2,12.5,25.0
73,Christian Wood,DAL,48,27.7,4.8,1.6,3.9,42.2,1.6,3.7,42.9,62.7
74,Chuma Okeke,ORL,19,21.3,2.7,0.9,2.9,30.4,0.9,2.9,30.4,45.5
75,Clint Capela,ATL,43,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Coby White,CHI,51,22.3,4.2,1.4,3.8,36.9,1.4,3.8,36.6,55.1
77,Cody Martin,CHA,7,19.1,1.6,0.6,1.4,40.0,0.4,1.3,33.3,55.0
78,Cole Anthony,ORL,39,25.0,2.1,0.7,2.3,31.1,0.7,2.3,30.3,46.1
79,Cole Swider,LAL,6,6.7,1.5,0.5,1.0,50.0,0.5,1.0,50.0,75.0
80,Collin Sexton,UTA,47,24.0,1.8,0.6,1.6,38.2,0.6,1.6,37.0,55.9
81,Corey Kispert,WAS,50,27.2,5.4,1.8,4.4,41.7,1.8,4.2,41.5,61.9
82,Cory Joseph,DET,40,15.8,1.2,0.4,1.3,32.0,0.4,1.3,32.0,48.0
83,D'Angelo Russell,LAL,57,32.8,4.7,1.6,4.0,39.9,1.5,3.8,38.8,58.6
84,Daishen Nix,HOU,41,15.5,1.3,0.4,1.6,26.9,0.4,1.6,27.3,40.3
85,Dalano Banton,TOR,26,9.5,1.3,0.4,1.3,31.4,0.4,1.3,32.4,47.1
86,Dalen Terry,CHI,23,5.0,0.3,0.1,0.5,18.2,0.1,0.5,18.2,27.3
87,Damian Jones,UTA,23,8.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
88,Damian Lillard,POR,46,36.2,4.5,1.5,4.1,37.8,1.4,3.9,36.5,55.3
89,Damion Lee,PHX,60,22.1,4.9,1.7,3.6,45.8,1.6,3.5,46.2,68.1
90,Daniel Gafford,WAS,56,18.7,0.1,0.0,0.1,33.3,-,-,-,33.3
91,Daniel Theis,IND,6,15.5,1.2,0.5,2.3,21.4,0.2,1.3,12.5,25.0
92,Danny Green,CLE,4,13.8,3.0,1.0,2.8,36.4,1.0,2.3,44.4,54.5
93,Danuel House Jr.,PHI,37,14.8,1.1,0.4,1.2,28.9,0.4,1.2,28.9,43.3
94,Dario Saric,OKC,38,14.4,2.3,0.8,2.1,39.2,0.7,1.8,40.3,56.3
95,Darius Bazley,PHX,36,15.4,1.6,0.6,1.3,41.7,0.5,1.2,38.6,59.4
96,Darius Days,HOU,3,7.8,3.0,1.0,3.0,33.3,1.0,3.0,33.3,50.0
97,Darius Garland,CLE,51,35.2,3.6,1.2,2.5,46.9,1.2,2.5,48.0,70.0
