,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,27,9.8,21,6,0.2,0.0,0.9,0.8,1.1,75.9
2,AJ Griffin,ATL,56,20.4,26,30,0.7,0.1,1.6,1.6,2.1,77.1
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,51,14.3,27,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,54,24.7,22,32,0.8,0.4,2.9,1.7,2.7,62.5
6,Aaron Wiggins,OKC,47,18.4,25,22,0.5,0.2,2.1,1.3,2.2,58.8
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,46,30.7,33,13,0.5,0.9,5.0,2.5,4.6,54.8
9,Alec Burks,DET,46,22.0,12,34,0.8,0.2,2.6,1.8,2.6,72.0
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,49,24.2,20,29,1.6,0.6,2.5,1.3,2.1,63.4
12,Alex Len,SAC,14,3.4,9,5,0.0,0.0,0.8,0.4,0.6,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,54,28.2,10,44,0.8,0.9,5.6,3.9,6.0,64.7
16,Amir Coffey,LAC,40,14.3,21,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,47,13.0,20,27,0.7,0.3,4.6,1.5,2.3,66.0
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,54,27.0,23,31,1.0,0.2,2.2,1.3,2.0,64.5
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,56,35.5,27,29,0.7,0.2,2.4,2.4,3.2,73.9
22,Anthony Davis,LAL,36,33.2,17,19,1.1,2.0,9.1,3.9,6.9,56.4
23,Anthony Edwards,MIN,62,36.3,31,31,1.6,0.6,5.3,2.2,3.0,71.4
24,Anthony Gill,WAS,41,10.0,17,24,0.1,0.2,0.9,0.7,1.1,63.8
25,Anthony Lamb,GSW,44,19.5,23,21,0.5,0.3,2.5,2.4,3.5,69.0
26,Austin Reaves,LAL,42,27.7,20,22,0.5,0.4,2.4,1.8,2.4,77.0
27,Austin Rivers,MIN,47,20.7,23,24,0.6,0.1,1.6,0.8,1.0,79.2
28,Ayo Dosunmu,CHI,57,28.4,26,31,0.7,0.4,2.5,1.6,2.4,65.4
29,Bam Adebayo,MIA,55,35.2,29,26,1.2,0.8,7.3,2.7,4.3,63.7
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,61,28.2,26,35,0.6,0.1,3.0,1.8,2.6,69.0
32,Bismack Biyombo,PHX,46,14.0,25,21,0.3,1.3,3.0,1.6,3.6,44.0
33,Blake Griffin,BOS,26,14.4,17,9,0.3,0.2,2.5,1.2,1.7,71.1
34,Blake Wesley,SAS,15,14.0,2,13,0.4,0.1,1.3,0.9,1.1,81.3
35,Boban Marjanovic,HOU,19,4.4,1,18,0.1,0.1,1.1,0.4,0.5,70.0
36,Bobby Portis,MIL,48,26.7,31,17,0.5,0.2,7.5,2.4,3.4,70.2
37,Bogdan Bogdanovic,ATL,35,29.6,17,18,0.8,0.3,2.9,1.9,2.5,75.0
38,Bojan Bogdanovic,DET,56,32.0,15,41,0.6,0.1,3.1,1.9,2.6,76.2
39,Bol Bol,ORL,55,23.0,22,33,0.4,1.3,5.1,2.0,3.0,66.9
40,Bones Hyland,LAC,44,19.4,30,14,0.7,0.3,1.8,1.6,1.9,84.3
41,Bradley Beal,WAS,37,32.9,20,17,0.9,0.7,2.7,1.4,2.1,69.7
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,52,19.9,29,23,0.6,0.7,3.9,1.8,3.2,55.5
44,Brandon Ingram,NOP,25,32.3,12,13,0.7,0.5,4.6,1.5,2.3,63.8
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,58,30.3,41,17,0.5,2.4,4.6,4.0,7.7,51.7
47,Bruce Brown,DEN,59,28.7,42,17,1.1,0.6,3.1,1.8,2.6,69.9
48,Bruno Fernando,ATL,33,11.2,10,23,0.2,0.9,2.3,1.4,2.5,58.0
49,Bryce McGowens,CHA,26,14.7,8,18,0.3,0.2,1.3,0.7,1.0,68.0
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,61,32.1,26,35,1.1,0.3,4.1,2.5,3.6,69.7
53,CJ McCollum,NOP,53,35.0,26,27,1.0,0.6,3.6,2.3,2.9,79.4
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,34,16.1,12,22,0.2,0.1,1.5,1.1,1.6,71.7
56,Caleb Martin,MIA,50,30.2,26,24,1.0,0.5,3.8,2.5,3.7,67.7
57,Cam Reddish,POR,24,22.6,10,14,0.8,0.4,1.3,1.4,2.0,68.8
58,Cam Thomas,BKN,42,16.9,25,17,0.4,0.1,1.5,1.1,1.6,68.7
59,Cameron Johnson,BKN,21,25.6,14,7,1.0,0.3,3.0,1.6,2.5,63.5
60,Cameron Payne,PHX,29,23.7,16,13,0.9,0.2,2.0,1.2,1.6,77.8
61,Caris LeVert,CLE,57,30.1,33,24,0.8,0.2,3.2,1.4,1.9,74.5
62,Carlik Jones,CHI,1,21.7,0,1,0.0,0.0,2.0,0.0,0.0,0.0
63,Cedi Osman,CLE,60,21.0,37,23,0.5,0.1,2.0,0.8,1.1,73.4
