,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
0,A.J. Lawson,DAL,13,5,8,4.8,2070.5,0.39,0.2,0.19,4.49,4.76,4.23
1,AJ Green,MIL,27,21,6,9.8,4015.4,0.76,0.42,0.34,4.34,4.75,3.92
2,AJ Griffin,ATL,56,26,30,20.4,8741.6,1.66,0.89,0.77,4.54,4.93,4.16
3,Aaron Gordon,DEN,49,35,14,30.3,11395.5,2.16,1.13,1.03,4.01,4.24,3.79
4,Aaron Holiday,ATL,51,27,24,14.3,5782.6,1.1,0.56,0.54,4.29,4.38,4.2
5,Aaron Nesmith,IND,55,23,32,24.6,10160.1,1.92,0.99,0.93,4.39,4.67,4.12
6,Aaron Wiggins,OKC,47,25,22,18.4,7880.4,1.49,0.79,0.7,4.55,4.96,4.18
7,Admiral Schofield,ORL,28,11,17,12.6,5131.1,0.97,0.52,0.45,4.3,4.56,4.04
8,Al Horford,BOS,47,34,13,30.8,11412.0,2.16,1.14,1.02,3.95,4.21,3.69
9,Alec Burks,DET,47,12,35,21.9,8351.9,1.58,0.83,0.75,4.03,4.25,3.81
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8825.7,1.67,0.93,0.74,4.31,4.96,3.71
11,Alex Caruso,CHI,49,20,29,24.2,10013.2,1.9,0.99,0.9,4.35,4.75,3.99
12,Alex Len,SAC,14,9,5,3.4,1361.7,0.26,0.14,0.11,4.16,4.53,3.78
13,Alize Johnson,SAS,4,1,3,7.4,3226.5,0.61,0.34,0.27,4.52,5.03,4.03
14,Alondes Williams,BKN,1,1,0,5.3,2184.0,0.41,0.23,0.18,4.27,3.78,4.91
15,Alperen Sengun,HOU,54,10,44,28.2,10212.5,1.93,1.03,0.9,3.86,3.95,3.76
16,Amir Coffey,LAC,40,21,19,14.3,5453.4,1.03,0.54,0.5,4.03,4.11,3.94
17,Andre Drummond,CHI,47,20,27,13.0,5010.8,0.95,0.48,0.47,4.08,4.27,3.9
18,Andre Iguodala,GSW,2,0,2,12.3,4895.0,0.93,0.52,0.4,4.39,4.82,3.55
19,Andrew Nembhard,IND,55,24,31,26.9,11037.1,2.09,1.08,1.01,4.34,4.63,4.07
20,Andrew Wiggins,GSW,36,18,18,32.3,12314.7,2.33,1.22,1.12,4.07,4.38,3.77
21,Anfernee Simons,POR,56,27,29,35.5,13815.1,2.62,1.46,1.16,4.13,4.51,3.73
22,Anthony Davis,LAL,36,17,19,33.2,11722.5,2.22,1.18,1.04,3.78,4.06,3.51
23,Anthony Edwards,MIN,62,31,31,36.3,13591.0,2.57,1.36,1.21,3.97,4.3,3.65
24,Anthony Gill,WAS,41,17,24,10.0,4050.4,0.77,0.42,0.35,4.25,4.6,3.89
25,Anthony Lamb,GSW,44,23,21,19.5,8096.0,1.53,0.86,0.68,4.39,4.96,3.82
26,Austin Reaves,LAL,42,20,22,27.7,10882.4,2.06,1.11,0.95,4.19,4.51,3.86
27,Austin Rivers,MIN,47,23,24,20.7,7897.9,1.5,0.76,0.74,4.03,4.17,3.89
28,Ayo Dosunmu,CHI,57,26,31,28.4,11739.5,2.22,1.15,1.08,4.41,4.69,4.15
29,Bam Adebayo,MIA,56,29,27,35.1,13173.5,2.49,1.34,1.15,3.98,4.26,3.7
30,Ben Simmons,BKN,42,24,18,26.3,9716.2,1.84,0.97,0.87,3.93,4.32,3.58
31,Bennedict Mathurin,IND,62,27,35,28.3,11278.1,2.14,1.13,1.0,4.21,4.53,3.9
32,Bismack Biyombo,PHX,46,25,21,13.9,5372.9,1.02,0.54,0.48,4.08,4.25,3.9
33,Blake Griffin,BOS,26,17,9,14.4,5134.6,0.97,0.53,0.45,3.82,4.0,3.64
34,Blake Wesley,SAS,16,2,14,14.4,6240.0,1.18,0.66,0.53,4.59,5.16,4.03
35,Boban Marjanovic,HOU,19,1,18,4.4,1554.3,0.29,0.15,0.15,3.7,3.9,3.52
36,Bobby Portis,MIL,48,31,17,26.6,10720.5,2.03,1.11,0.92,4.28,4.58,3.96
37,Bogdan Bogdanovic,ATL,35,17,18,29.6,11764.9,2.23,1.23,1.0,4.2,4.69,3.72
38,Bojan Bogdanovic,DET,57,15,42,31.9,12324.2,2.33,1.28,1.05,4.11,4.46,3.74
39,Bol Bol,ORL,56,22,34,23.0,9020.7,1.71,0.88,0.82,4.16,4.34,3.99
40,Bones Hyland,LAC,44,30,14,19.4,7561.9,1.43,0.79,0.64,4.14,4.48,3.79
41,Bradley Beal,WAS,37,20,17,32.9,12684.0,2.4,1.36,1.04,4.09,4.46,3.68
42,Brandon Boston Jr.,LAC,21,8,13,11.8,4740.6,0.9,0.48,0.42,4.23,4.48,3.94
43,Brandon Clarke,MEM,53,30,23,19.9,8288.7,1.57,0.82,0.75,4.37,4.68,4.07
44,Brandon Ingram,NOP,26,12,14,32.5,11872.8,2.25,1.24,1.01,3.87,4.29,3.45
45,Braxton Key,DET,3,0,3,3.0,1299.0,0.25,0.11,0.13,4.19,4.91,3.77
46,Brook Lopez,MIL,58,41,17,30.3,11020.2,2.09,1.11,0.97,3.89,4.15,3.63
47,Bruce Brown,DEN,60,42,18,28.6,10907.3,2.07,1.12,0.95,4.04,4.38,3.7
48,Bruno Fernando,ATL,33,10,23,11.2,4293.8,0.81,0.45,0.36,4.05,4.39,3.7
49,Bryce McGowens,CHA,26,8,18,14.7,5924.3,1.12,0.59,0.54,4.24,4.57,3.93
50,Bryn Forbes,MIN,25,9,16,10.7,4362.0,0.83,0.44,0.39,4.31,4.75,3.87
51,Buddy Boeheim,DET,1,0,1,0.9,370.0,0.07,0.03,0.04,5.99,0.0,0.0
52,Buddy Hield,IND,62,27,35,32.1,13507.8,2.56,1.4,1.16,4.48,5.01,3.97
53,CJ McCollum,NOP,54,26,28,35.0,13952.5,2.64,1.48,1.16,4.24,4.86,3.64
54,Cade Cunningham,DET,12,3,9,33.4,13146.8,2.49,1.39,1.1,4.18,4.67,3.67
55,Caleb Houstan,ORL,34,12,22,16.1,6663.7,1.26,0.68,0.58,4.36,4.65,4.07
56,Caleb Martin,MIA,51,26,25,30.1,12958.0,2.45,1.33,1.12,4.59,4.93,4.23
57,Cam Reddish,POR,24,10,14,22.6,9126.9,1.73,0.88,0.85,4.28,4.39,4.17
58,Cam Thomas,BKN,42,25,17,16.9,6578.3,1.25,0.69,0.55,4.17,4.57,3.78
59,Cameron Johnson,BKN,21,14,7,25.6,10210.4,1.93,1.05,0.89,4.23,4.64,3.83
60,Cameron Payne,PHX,29,16,13,23.7,9148.7,1.73,0.97,0.76,4.1,4.6,3.6
61,Caris LeVert,CLE,57,33,24,30.1,11649.2,2.21,1.21,0.99,4.09,4.34,3.83
62,Carlik Jones,CHI,1,0,1,21.7,8151.0,1.54,0.83,0.71,3.92,4.22,3.63
63,Cedi Osman,CLE,60,37,23,21.0,8180.5,1.55,0.83,0.72,4.1,4.27,3.93
64,Charles Bassey,SAS,28,5,23,13.8,5537.1,1.05,0.56,0.49,4.19,4.53,3.87
65,Chima Moneke,SAC,2,1,1,4.0,1658.0,0.31,0.16,0.15,4.23,4.64,3.88
66,Chimezie Metu,SAC,46,27,19,11.1,4522.4,0.86,0.44,0.42,4.24,4.6,3.92
67,Chris Boucher,TOR,55,28,27,20.8,8381.1,1.59,0.84,0.75,4.24,4.45,4.03
68,Chris Duarte,IND,38,15,23,19.1,8157.5,1.54,0.82,0.73,4.52,4.89,4.18
69,Chris Paul,PHX,40,21,19,32.0,10677.9,2.02,1.13,0.89,3.55,3.92,3.16
70,Chris Silva,DAL,1,1,0,3.0,1536.0,0.29,0.15,0.14,5.07,3.47,3.29
71,Christian Braun,DEN,56,39,17,15.4,6336.9,1.2,0.64,0.56,4.35,4.53,4.15
72,Christian Koloko,TOR,45,21,24,14.6,6013.0,1.14,0.59,0.55,4.35,4.55,4.15
73,Christian Wood,DAL,49,27,22,27.6,10048.1,1.9,1.01,0.89,3.87,4.0,3.74
74,Chuma Okeke,ORL,19,5,14,21.3,8654.2,1.64,0.86,0.78,4.3,4.43,4.2
75,Clint Capela,ATL,44,24,20,26.8,10184.7,1.93,1.01,0.92,4.04,4.22,3.86
76,Coby White,CHI,51,23,28,22.4,8610.8,1.63,0.84,0.79,4.07,4.32,3.84
77,Cody Martin,CHA,7,2,5,19.1,8315.4,1.57,0.84,0.73,4.57,4.86,4.28
78,Cody Zeller,MIA,2,0,2,15.6,6393.0,1.21,0.66,0.55,4.31,4.55,4.05
79,Cole Anthony,ORL,41,19,22,24.7,10234.9,1.94,1.05,0.89,4.38,4.73,4.03
80,Cole Swider,LAL,6,1,5,6.8,2957.3,0.56,0.32,0.24,4.61,4.96,3.95
81,Collin Sexton,UTA,47,24,23,24.0,9124.3,1.73,0.94,0.79,3.99,4.27,3.7
82,Corey Kispert,WAS,51,24,27,27.0,11095.1,2.1,1.17,0.93,4.36,4.81,3.91
83,Cory Joseph,DET,42,10,32,15.7,6527.8,1.24,0.66,0.58,4.39,4.69,4.11
84,D'Angelo Russell,LAL,58,30,28,32.4,12558.9,2.38,1.31,1.07,4.13,4.65,3.62
85,Daishen Nix,HOU,42,11,31,15.7,5982.5,1.13,0.61,0.52,4.01,4.26,3.76
86,Dalano Banton,TOR,26,14,12,9.5,4101.9,0.78,0.41,0.37,4.56,4.85,4.27
87,Dalen Terry,CHI,23,11,12,5.4,2249.1,0.43,0.22,0.2,4.5,4.77,4.24
88,Damian Jones,UTA,24,7,17,8.2,3242.1,0.61,0.32,0.29,4.15,4.51,3.87
89,Damian Lillard,POR,46,23,23,36.2,13513.3,2.56,1.46,1.1,3.96,4.45,3.45
90,Damion Lee,PHX,61,33,28,22.0,9122.3,1.73,0.96,0.77,4.37,4.74,3.97
91,Daniel Gafford,WAS,57,26,31,18.6,7392.6,1.4,0.74,0.66,4.21,4.35,4.06
92,Daniel Theis,IND,7,1,6,15.6,5761.1,1.09,0.57,0.52,3.94,4.11,3.77
93,Danny Green,CLE,5,1,4,13.2,5722.8,1.08,0.56,0.53,4.52,5.06,4.05
94,Danuel House Jr.,PHI,37,24,13,14.8,6026.7,1.14,0.59,0.55,4.3,4.51,4.12
95,Dario Saric,OKC,40,18,22,14.3,5722.8,1.08,0.59,0.49,4.25,4.54,3.96
96,Darius Bazley,PHX,36,16,20,15.4,6241.3,1.18,0.62,0.56,4.31,4.75,3.9
97,Darius Days,HOU,4,0,4,6.3,2579.0,0.49,0.25,0.24,4.37,4.3,4.44
98,Darius Garland,CLE,53,28,25,35.1,13719.3,2.6,1.45,1.15,4.14,4.53,3.73
99,David Duke Jr.,BKN,16,7,9,8.8,3546.4,0.67,0.36,0.31,4.17,4.4,3.94
100,David Roddy,MEM,48,30,18,17.4,6927.4,1.31,0.68,0.63,4.2,4.34,4.06
101,Davion Mitchell,SAC,58,33,25,17.9,7484.2,1.42,0.74,0.67,4.44,4.79,4.1
102,Davis Bertans,DAL,34,17,17,10.6,4328.3,0.82,0.46,0.36,4.32,4.8,3.82
103,Davon Reed,LAL,38,25,13,8.8,3599.9,0.68,0.38,0.3,4.31,4.65,3.94
104,Day'Ron Sharpe,BKN,33,16,17,10.4,4222.9,0.8,0.43,0.37,4.28,4.54,4.02
105,De'Aaron Fox,SAC,54,33,21,34.1,13508.8,2.56,1.36,1.19,4.18,4.66,3.74
106,De'Andre Hunter,ATL,50,28,22,31.9,12161.4,2.3,1.24,1.06,4.05,4.4,3.7
107,De'Anthony Melton,PHI,56,37,19,28.1,11171.8,2.12,1.13,0.99,4.23,4.41,4.04
108,DeAndre Jordan,DEN,34,21,13,14.6,4946.0,0.94,0.5,0.44,3.59,3.73,3.46
109,DeMar DeRozan,CHI,53,25,28,36.1,13012.1,2.46,1.33,1.13,3.83,4.27,3.42
110,Dean Wade,CLE,33,22,11,20.8,8142.9,1.54,0.81,0.73,4.13,4.23,4.02
111,Deandre Ayton,PHX,52,25,27,30.2,10921.0,2.07,1.11,0.95,3.85,4.1,3.59
112,Dejounte Murray,ATL,55,28,27,36.5,14202.6,2.69,1.47,1.22,4.14,4.55,3.73
113,Delon Wright,WAS,30,19,11,22.5,9038.4,1.71,0.94,0.77,4.22,4.45,3.95
114,Deni Avdija,WAS,57,27,30,26.3,10339.8,1.96,1.05,0.91,4.16,4.39,3.92
115,Dennis Schroder,LAL,47,24,23,29.9,11728.7,2.22,1.14,1.08,4.18,4.34,4.03
116,Dennis Smith Jr.,CHA,40,13,27,25.1,10118.8,1.92,1.02,0.9,4.26,4.59,3.93
117,Deonte Burton,SAC,2,1,1,3.3,1447.5,0.27,0.14,0.14,4.05,5.65,4.27
118,Dereon Seabron,NOP,5,2,3,2.3,947.2,0.18,0.09,0.09,4.15,5.21,3.31
119,Derrick Jones Jr.,CHI,46,18,28,14.9,6144.7,1.16,0.61,0.56,4.34,4.73,4.0
120,Derrick Rose,NYK,27,12,15,12.5,5102.2,0.97,0.53,0.44,4.33,4.75,3.92
121,Derrick White,BOS,61,44,17,27.6,10684.1,2.02,1.09,0.93,4.12,4.45,3.8
122,Desmond Bane,MEM,37,23,14,31.1,12372.3,2.34,1.28,1.07,4.21,4.66,3.78
123,Devin Booker,PHX,34,22,12,33.9,12683.0,2.4,1.34,1.06,3.97,4.4,3.52
124,Devin Vassell,SAS,29,8,21,31.3,13193.0,2.5,1.41,1.09,4.45,5.03,3.87
125,Devon Dotson,WAS,6,1,5,8.8,3769.8,0.71,0.38,0.33,4.45,4.71,4.2
126,Devonte' Graham,SAS,59,27,32,16.6,6523.4,1.24,0.68,0.55,4.16,4.56,3.74
127,Dewayne Dedmon,PHI,30,17,13,11.7,4373.1,0.83,0.45,0.38,3.96,4.23,3.7
128,Dillon Brooks,MEM,54,33,21,30.4,11601.0,2.2,1.1,1.09,4.04,4.13,3.95
129,Domantas Sabonis,SAC,57,33,24,34.5,13793.0,2.61,1.37,1.24,4.25,4.61,3.91
130,Dominick Barlow,SAS,11,0,11,10.1,4324.6,0.82,0.45,0.37,4.47,4.96,4.0
131,Donovan Mitchell,CLE,52,33,19,35.5,12503.8,2.37,1.32,1.05,3.74,4.08,3.39
132,Donte DiVincenzo,GSW,49,27,22,25.4,10243.4,1.94,1.05,0.89,4.28,4.69,3.88
133,Dorian Finney-Smith,BKN,45,21,24,31.8,12101.2,2.29,1.22,1.07,4.04,4.17,3.91
134,Doug McDermott,SAS,52,14,38,20.5,8845.6,1.68,0.96,0.71,4.55,5.24,3.87
135,Draymond Green,GSW,52,27,25,31.6,11588.7,2.19,1.17,1.03,3.9,4.3,3.54
136,Drew Eubanks,POR,57,26,31,19.6,7732.1,1.46,0.79,0.67,4.18,4.39,3.95
137,Dru Smith,BKN,8,4,4,12.1,4759.1,0.9,0.48,0.42,4.18,4.61,3.77
138,Duane Washington Jr.,PHX,31,17,14,12.7,5208.3,0.99,0.55,0.43,4.32,4.78,3.86
139,Duncan Robinson,MIA,31,14,17,17.7,7020.4,1.33,0.76,0.57,4.18,4.76,3.61
140,Dwight Powell,DAL,56,31,25,19.8,8036.3,1.52,0.82,0.7,4.32,4.5,4.13
141,Dyson Daniels,NOP,40,21,19,19.6,7954.6,1.51,0.8,0.71,4.31,4.69,3.94
142,Edmond Sumner,BKN,46,28,18,14.5,6029.8,1.14,0.61,0.53,4.36,4.68,4.06
143,Eric Gordon,LAC,50,14,36,29.7,10174.0,1.93,1.05,0.88,3.63,3.85,3.39
144,Eugene Omoruyi,OKC,23,9,14,11.8,4716.4,0.89,0.46,0.43,4.21,4.59,3.9
145,Evan Fournier,NYK,23,13,10,18.0,7313.8,1.39,0.74,0.64,4.32,4.61,4.02
146,Evan Mobley,CLE,61,36,25,34.1,13111.4,2.48,1.34,1.14,4.07,4.32,3.81
147,Facundo Campazzo,DAL,8,2,6,6.5,2680.9,0.51,0.28,0.23,4.34,4.68,3.8
148,Frank Kaminsky,HOU,29,11,18,6.9,2600.5,0.49,0.27,0.23,3.97,4.23,3.69
149,Frank Ntilikina,DAL,37,18,19,12.2,4690.0,0.89,0.47,0.42,4.06,4.24,3.87
150,Franz Wagner,ORL,60,24,36,33.1,13920.1,2.64,1.44,1.2,4.46,4.94,3.98
151,Fred VanVleet,TOR,50,24,26,36.9,14639.6,2.77,1.56,1.22,4.19,4.67,3.7
152,Furkan Korkmaz,PHI,25,17,8,10.2,4161.8,0.79,0.43,0.35,4.29,4.66,3.91
153,Gabe Vincent,MIA,47,25,22,26.2,10272.5,1.95,1.07,0.88,4.14,4.53,3.74
154,Garrett Temple,NOP,19,11,8,7.0,2846.2,0.54,0.29,0.25,4.24,4.64,3.85
155,Garrison Mathews,ATL,47,13,34,12.9,5120.4,0.97,0.52,0.45,4.2,4.43,3.96
156,Gary Harris,ORL,32,13,19,24.7,9752.5,1.85,0.92,0.93,4.22,4.33,4.12
157,Gary Payton II,GSW,15,8,7,17.0,7143.1,1.35,0.67,0.68,4.42,4.37,4.47
