,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Julius Randle,NYK,59,5.8,24.1,1.03,5.9,2.0,5.1,39.9,53.5,6.2,7.4,6.5,1.5,39.4,52.4
1,Tim Hardaway Jr.,DAL,54,5.9,42.5,1.04,6.2,2.1,5.6,36.8,52.0,4.0,2.8,4.0,1.6,37.1,54.1
2,Lauri Markkanen,UTA,54,4.7,22.7,1.3,6.1,2.0,4.2,47.1,66.1,5.6,4.8,4.8,0.4,47.6,94.7
3,Jerami Grant,POR,54,5.6,29.7,1.09,6.1,2.0,4.9,39.7,55.2,6.7,6.3,6.7,2.0,40.0,63.8
4,Buddy Hield,IND,59,4.5,28.5,1.21,5.5,1.9,4.2,45.4,64.1,1.1,5.6,1.1,0.0,43.4,88.6
5,Kyle Kuzma,WAS,52,6.0,26.9,1.01,6.1,2.1,5.4,39.1,53.0,3.2,7.1,3.2,0.3,38.1,48.8
6,P.J. Washington,CHA,58,5.8,37.7,0.93,5.4,1.9,5.2,36.8,47.9,4.5,5.7,4.8,1.5,36.2,28.9
7,Keldon Johnson,SAS,51,6.1,28.5,0.98,6.0,2.0,5.4,37.1,48.0,9.3,5.4,9.3,2.6,39.0,42.7
8,Marcus Morris Sr.,LAC,52,5.0,40.9,1.17,5.9,2.0,4.7,43.0,58.0,5.0,2.3,4.6,0.8,44.4,81.1
9,RJ Barrett,NYK,52,6.1,29.3,0.94,5.8,1.9,5.4,35.7,47.1,7.9,5.7,7.2,1.6,37.7,30.8
10,Harrison Barnes,SAC,57,4.6,35.0,1.13,5.2,1.5,3.7,40.3,53.1,16.2,4.2,16.2,1.9,46.5,73.1
11,Mikal Bridges,PHX,56,4.8,29.3,1.1,5.2,1.8,4.4,41.6,54.3,6.7,4.1,6.4,2.6,42.3,66.0
12,Gary Trent Jr.,TOR,50,5.0,28.9,1.15,5.7,2.0,4.6,42.7,57.3,4.8,3.6,4.8,2.0,42.7,76.7
13,Trey Murphy III,NOP,55,4.6,42.9,1.13,5.2,1.7,4.3,40.7,56.4,4.0,2.4,4.0,0.0,42.1,72.3
14,Max Strus,MIA,56,4.5,36.6,1.12,5.1,1.7,4.2,39.9,57.3,3.2,5.1,3.2,0.4,39.5,71.8
15,Luguentz Dort,OKC,49,5.6,38.7,1.01,5.7,1.9,4.7,39.7,52.8,8.4,8.4,7.6,1.1,40.7,49.3
16,Damion Lee,PHX,59,4.1,48.4,1.13,4.6,1.6,3.7,43.1,59.2,3.7,6.2,3.7,0.4,42.3,74.3
17,Jaylen Brown,BOS,48,5.6,21.9,1.02,5.7,2.0,4.8,42.4,52.4,9.7,7.8,9.3,3.7,41.8,50.7
18,Anthony Edwards,MIN,60,3.7,15.1,1.21,4.5,1.7,3.4,49.5,63.1,4.5,6.7,4.5,1.8,47.5,86.9
19,Derrick White,BOS,58,4.0,37.0,1.13,4.6,1.6,3.8,40.8,56.1,3.8,2.1,4.3,1.7,41.0,72.6
20,Jaden McDaniels,MIN,57,4.9,45.8,0.94,4.6,1.7,4.1,40.9,51.9,5.4,12.5,5.4,1.8,37.5,29.1
21,Jayson Tatum,BOS,54,4.0,14.5,1.2,4.8,1.5,3.4,44.6,59.8,9.7,6.0,9.7,0.9,46.5,86.4
22,Royce O'Neale,BKN,54,4.7,46.3,1.04,4.8,1.6,4.3,37.8,53.9,2.8,5.2,2.4,0.4,37.3,53.7
23,Michael Porter Jr.,DEN,41,5.0,33.7,1.25,6.2,2.2,4.7,47.6,64.9,2.9,3.9,3.4,0.5,46.8,91.0
24,Bojan Bogdanovic,DET,55,3.7,19.1,1.26,4.6,1.6,3.3,50.3,65.1,8.4,6.4,7.9,3.5,49.5,92.0
25,Anfernee Simons,POR,56,3.9,19.5,1.15,4.6,1.6,3.7,41.6,58.9,2.3,3.6,2.3,0.5,41.2,79.4
26,Tobias Harris,PHI,52,4.6,31.9,1.07,4.9,1.7,4.2,41.1,55.3,2.5,5.9,2.5,0.4,39.9,60.0
27,Georges Niang,PHI,54,3.9,49.1,1.21,4.7,1.6,3.7,44.0,61.8,1.9,3.4,1.9,1.4,42.8,87.8
28,Grant Williams,BOS,57,3.8,46.8,1.16,4.4,1.5,3.4,44.8,60.8,5.1,6.5,4.6,0.9,43.8,79.9
29,Kristaps Porzingis,WAS,49,4.8,23.2,1.06,5.1,1.6,4.1,39.1,51.5,10.3,5.6,9.0,2.6,41.6,58.7
30,Saddiq Bey,DET,52,4.6,31.6,1.04,4.7,1.5,3.8,38.5,52.8,9.7,8.0,9.7,2.1,39.7,54.6
31,Patrick Williams,CHI,57,4.5,44.3,0.95,4.3,1.5,4.1,37.8,51.5,1.2,8.9,1.2,0.0,35.1,33.3
32,D'Angelo Russell,MIN,54,3.7,21.4,1.21,4.5,1.6,3.5,45.0,62.3,2.0,4.0,2.0,0.5,44.1,88.3
33,Jabari Smith Jr.,HOU,54,5.1,38.3,0.89,4.5,1.6,4.6,34.4,45.3,5.8,5.4,5.4,0.7,35.5,21.8
34,Norman Powell,LAC,50,4.0,26.2,1.2,4.8,1.6,3.4,47.6,61.3,12.4,7.0,11.9,3.0,48.8,85.2
35,Zach LaVine,CHI,53,3.8,16.6,1.2,4.5,1.6,3.2,49.7,64.5,7.5,9.5,7.5,1.5,48.0,85.6
36,O.G. Anunoby,TOR,45,5.3,30.8,1.0,5.3,1.9,4.7,39.4,52.8,4.2,7.9,4.2,1.3,38.1,48.1
37,Quentin Grimes,NYK,48,4.9,50.5,0.99,4.9,1.7,4.4,39.2,53.8,2.1,9.3,2.5,0.0,36.7,44.7
38,Reggie Bullock,DAL,57,4.0,62.8,1.02,4.1,1.4,3.9,35.0,51.8,0.9,2.6,0.9,0.4,34.3,50.2
39,Malik Beasley,UTA,55,4.3,31.8,0.99,4.3,1.5,3.9,37.2,52.1,2.1,6.8,2.1,0.0,36.0,44.4
40,Keegan Murray,SAC,55,3.8,34.4,1.11,4.2,1.5,3.5,41.5,58.3,1.4,6.3,1.4,0.5,39.4,68.0
41,Spencer Dinwiddie,DAL,53,3.5,21.1,1.24,4.3,1.5,3.2,46.2,65.8,1.6,5.4,1.6,0.0,44.0,90.0
42,Aaron Nesmith,IND,52,4.3,44.5,1.02,4.3,1.4,3.7,37.3,50.8,7.7,6.3,7.2,0.9,38.7,50.5
43,Jordan Clarkson,UTA,57,4.1,19.4,0.94,3.9,1.4,3.7,38.1,48.8,5.5,7.6,5.1,2.1,37.3,31.1
44,Grayson Allen,MIL,53,3.2,34.2,1.3,4.2,1.4,2.9,48.4,66.1,4.7,3.6,4.1,0.0,49.1,94.9
45,AJ Griffin,ATL,54,3.5,41.5,1.15,4.1,1.5,3.4,45.1,58.8,1.6,3.1,1.6,0.0,44.5,77.2
46,De'Anthony Melton,PHI,53,3.7,34.4,1.1,4.1,1.4,3.5,39.9,56.6,2.0,3.5,2.0,0.5,39.4,67.0
47,Jalen McDaniels,CHA,56,4.1,37.3,0.94,3.9,1.3,3.6,37.1,49.8,3.9,8.3,3.5,0.4,36.2,32.8
48,Kentavious Caldwell-Pope,DEN,56,3.4,33.2,1.14,3.8,1.3,3.1,42.6,60.2,1.1,6.3,1.1,0.5,40.2,75.2
49,Naji Marshall,NOP,53,3.8,37.3,1.05,4.1,1.4,3.4,41.0,52.8,10.3,5.4,10.3,2.9,42.2,57.0
50,Immanuel Quickley,NYK,58,3.1,25.7,1.18,3.7,1.3,2.9,44.4,58.3,5.5,2.7,4.9,1.1,45.6,82.0
51,Coby White,CHI,49,3.8,44.3,1.14,4.3,1.5,3.5,42.1,58.5,4.3,4.8,3.8,1.1,41.4,75.7
52,Santi Aldama,MEM,53,3.6,41.8,1.1,4.0,1.4,3.2,42.1,57.0,4.7,6.3,3.7,0.5,40.8,66.5
53,Malcolm Brogdon,BOS,49,3.5,26.0,1.19,4.1,1.4,3.0,47.7,61.1,7.0,6.4,6.4,0.6,47.4,84.0
54,Caris LeVert,CLE,55,3.3,25.6,1.1,3.7,1.3,3.2,40.6,54.6,4.9,2.2,4.9,2.2,41.3,67.5
55,Nicolas Batum,LAC,56,3.3,56.4,1.09,3.6,1.2,3.1,37.7,56.0,2.2,3.2,1.6,0.0,37.8,64.1
56,Donovan Mitchell,CLE,49,3.5,14.3,1.17,4.1,1.5,3.2,46.5,59.4,4.7,4.1,4.7,1.2,46.5,81.3
57,Dejounte Murray,ATL,53,3.8,17.7,1.0,3.8,1.3,3.6,37.6,51.3,3.0,3.5,3.5,1.0,37.3,46.5
58,Nikola Vucevic,CHI,57,3.1,18.5,1.13,3.5,1.2,2.8,42.8,59.7,2.9,6.9,2.3,0.6,41.1,73.5
59,Eric Gordon,HOU,47,3.9,30.4,1.07,4.2,1.4,3.3,40.8,55.4,7.6,9.2,6.5,1.6,40.5,60.7
60,De'Andre Hunter,ATL,48,4.4,29.0,0.93,4.1,1.4,3.9,36.5,47.1,6.1,6.1,5.7,1.4,36.8,28.6
61,Bruce Brown,DEN,57,3.3,29.6,1.04,3.5,1.2,3.0,39.9,55.8,3.2,6.3,3.2,1.1,37.6,55.1
62,Kenyon Martin Jr.,HOU,57,3.4,32.5,1.03,3.5,1.2,2.9,41.0,55.7,5.7,9.4,5.7,1.6,38.5,51.7
63,Dillon Brooks,MEM,51,4.0,23.7,0.97,3.9,1.4,3.6,39.1,50.3,3.0,5.9,3.0,0.0,38.6,40.5
64,Bennedict Mathurin,IND,59,3.7,21.8,0.9,3.3,1.1,3.1,35.3,42.7,10.9,8.2,10.9,2.7,37.7,23.3
65,Al Horford,BOS,44,3.8,46.1,1.18,4.5,1.5,3.7,41.5,59.1,1.2,0.0,1.2,0.0,42.2,83.0
66,Corey Kispert,WAS,49,3.4,42.5,1.16,4.0,1.4,3.1,43.8,61.1,2.4,6.5,3.0,0.0,42.0,79.6
67,Tyrese Maxey,PHI,37,4.8,25.6,1.09,5.2,1.8,4.2,42.0,55.1,7.9,6.2,7.9,2.2,42.1,63.6
68,Terry Rozier,CHA,50,3.7,16.8,1.04,3.9,1.4,3.4,40.0,52.4,4.8,5.3,4.8,1.1,40.1,54.4
69,Kevin Durant,BKN,39,3.5,13.8,1.43,4.9,1.7,2.9,58.4,71.2,16.3,6.7,14.1,6.7,58.5,98.8
70,Scottie Barnes,TOR,56,3.3,19.9,1.03,3.4,1.3,3.1,40.6,51.7,3.8,2.7,3.8,0.5,41.4,53.0
71,Klay Thompson,GSW,46,3.8,18.2,1.1,4.2,1.5,3.7,40.5,55.4,2.3,2.3,2.3,1.1,40.2,66.3
72,Jose Alvarado,NOP,57,3.4,33.3,0.98,3.3,1.1,3.2,34.8,48.4,3.6,2.1,3.1,1.0,35.2,42.5
73,Torrey Craig,PHX,56,3.3,40.7,1.02,3.3,1.1,3.1,37.2,53.2,1.6,4.4,1.6,0.0,36.6,50.0
74,Dorian Finney-Smith,DAL,40,4.9,53.4,0.95,4.7,1.5,4.2,35.5,51.8,3.1,10.3,3.1,0.0,33.8,34.2
75,Lonnie Walker IV,LAL,41,4.1,32.7,1.09,4.5,1.5,3.7,40.0,57.0,4.2,8.3,4.2,1.8,38.1,63.1
76,Jalen Green,HOU,53,3.4,14.4,1.03,3.5,1.2,2.9,39.4,51.6,7.9,6.2,6.7,1.1,41.0,52.2
77,Cedi Osman,CLE,58,3.2,37.4,0.99,3.1,1.1,3.0,36.6,51.7,1.6,5.4,1.6,0.5,35.3,43.7
78,Donte DiVincenzo,GSW,48,2.9,32.3,1.29,3.8,1.3,2.7,46.6,68.7,0.0,6.4,0.0,0.0,43.6,93.9
79,Christian Wood,DAL,47,3.3,20.5,1.18,3.8,1.3,2.9,45.2,60.7,6.5,7.2,5.9,2.0,44.4,82.3
80,Brook Lopez,MIL,56,3.3,25.1,0.99,3.2,1.1,3.1,36.6,51.2,1.6,4.4,1.6,0.5,35.7,43.4
81,Caleb Martin,MIA,48,3.9,38.5,0.96,3.8,1.4,3.5,38.5,51.2,2.1,8.0,2.1,0.0,36.7,35.8
82,CJ McCollum,NOP,51,3.3,15.0,1.06,3.5,1.3,3.2,42.2,55.0,1.2,3.6,1.2,0.0,40.8,57.8
83,Kelly Oubre Jr.,CHA,35,5.1,24.8,0.99,5.1,1.8,4.9,37.4,50.6,2.8,2.8,2.8,0.6,37.2,43.2
84,Sam Hauser,BOS,56,2.5,46.0,1.28,3.2,1.1,2.4,45.2,64.8,1.4,1.4,1.4,0.7,44.9,93.4
85,Kevin Huerter,SAC,54,2.9,21.8,1.11,3.3,1.1,2.7,41.9,57.8,3.1,4.4,3.1,0.6,40.9,69.2
86,Ayo Dosunmu,CHI,55,3.4,36.1,0.94,3.2,1.2,3.0,38.8,49.4,4.8,8.5,4.8,0.5,38.1,29.4
87,Jaren Jackson Jr.,MEM,39,4.3,27.9,1.05,4.5,1.6,3.6,43.0,53.5,9.0,7.2,7.8,1.2,44.3,56.8
88,Joel Embiid,PHI,44,3.1,10.8,1.27,4.0,1.4,2.7,53.4,64.0,13.0,8.0,13.0,6.5,52.2,92.7
89,Josh Green,DAL,39,3.7,47.1,1.22,4.5,1.6,3.2,48.4,62.7,9.0,6.3,9.0,2.8,48.6,88.8
90,Terance Mann,LAC,59,2.7,33.4,1.09,3.0,1.1,2.5,42.8,55.2,6.2,4.3,6.2,0.6,43.5,62.9
91,Jalen Brunson,NYK,55,2.8,12.6,1.15,3.2,1.1,2.5,44.2,57.6,6.6,5.3,5.9,2.6,44.1,76.5
92,Franz Wagner,ORL,58,3.0,16.7,0.99,3.0,1.1,2.7,40.9,51.3,6.9,6.3,6.9,1.1,41.1,45.1
93,Darius Garland,CLE,50,2.9,13.8,1.19,3.5,1.2,2.6,46.1,60.2,8.9,4.8,7.5,1.4,47.9,83.5
94,Pat Connaughton,MIL,41,3.7,42.7,1.15,4.2,1.4,3.6,40.1,58.2,1.3,2.0,1.3,1.3,39.3,77.4
95,Trey Lyles,SAC,51,3.1,46.7,1.08,3.4,1.1,2.6,42.1,57.1,8.9,8.9,8.2,1.9,41.8,62.4
96,Isaiah Stewart,DET,47,3.9,32.7,0.94,3.6,1.3,3.6,35.3,49.1,2.2,5.5,2.2,0.0,34.8,33.0
97,Isaiah Joe,OKC,48,2.6,40.3,1.34,3.5,1.1,2.5,45.4,66.4,4.7,2.4,4.7,0.8,46.5,97.6
98,Doug McDermott,SAS,50,2.6,27.7,1.31,3.4,1.2,2.3,50.9,68.0,6.3,7.0,6.3,2.3,49.2,95.9
99,Bogdan Bogdanovic,ATL,33,4.5,31.0,1.12,5.1,1.8,4.2,41.4,57.5,3.3,3.3,2.7,0.0,42.0,71.3
100,Joe Harris,BKN,50,3.2,42.1,1.05,3.3,1.1,2.9,39.0,55.8,1.3,6.3,0.6,0.0,37.3,56.0
101,LaMelo Ball,CHA,32,4.9,19.8,1.05,5.2,1.8,4.7,38.3,53.4,2.5,3.8,2.5,0.6,38.0,56.0
102,Austin Reaves,LAL,40,3.5,37.4,1.17,4.1,1.2,3.0,41.2,56.7,14.2,6.4,14.2,5.0,44.0,81.6
103,Tari Eason,HOU,57,3.2,34.3,0.91,2.9,1.0,2.8,36.0,46.9,5.5,7.7,5.5,1.6,35.7,24.5
104,Pascal Siakam,TOR,49,3.8,15.3,0.89,3.3,1.1,3.2,33.5,44.0,9.2,7.6,9.2,2.2,35.7,21.6
105,Reggie Jackson,LAC,52,2.6,21.4,1.21,3.1,1.1,2.5,44.6,61.9,1.5,3.7,1.5,1.5,43.0,87.1
106,Jevon Carter,MIL,57,2.4,31.4,1.2,2.9,1.0,2.2,44.4,63.5,1.5,5.9,1.5,0.0,42.6,85.0
107,Kyle Lowry,MIA,44,3.2,25.0,1.16,3.7,1.1,2.9,39.7,56.0,7.9,3.6,6.4,1.4,42.1,80.1
108,Josh Giddey,OKC,51,3.5,19.1,0.93,3.2,1.2,3.1,38.9,50.0,2.3,9.1,2.3,0.6,36.4,26.5
109,Tyler Herro,MIA,45,3.4,16.2,1.07,3.6,1.2,3.1,40.0,53.9,3.9,4.6,3.9,0.7,40.1,59.7
110,Jordan Poole,GSW,58,3.0,13.8,0.94,2.8,0.9,2.5,37.5,49.7,6.4,11.0,5.8,1.2,36.6,32.0
111,Isaac Okoro,CLE,60,2.9,49.7,0.93,2.7,1.0,2.6,36.5,48.4,4.6,6.9,4.6,1.1,36.2,28.2
112,Taurean Prince,MIN,36,3.7,45.8,1.22,4.5,1.7,3.1,53.6,68.8,4.5,12.9,3.8,2.3,47.0,89.3
113,Bobby Portis,MIL,47,3.4,24.3,1.01,3.4,1.3,3.1,41.9,52.7,1.9,5.0,1.9,0.0,40.9,48.5
114,Andrew Wiggins,GSW,37,4.5,27.3,0.97,4.4,1.5,4.1,36.2,50.7,3.0,6.0,2.4,0.6,34.9,38.8
115,Stephen Curry,GSW,38,2.9,11.5,1.44,4.1,1.4,2.7,51.5,71.8,6.4,3.7,6.4,2.8,51.4,99.0
116,Wendell Carter Jr.,ORL,39,3.6,24.6,1.13,4.0,1.4,3.1,45.8,59.2,7.9,6.5,7.2,0.7,46.8,72.8
117,Alec Burks,DET,45,2.7,22.7,1.3,3.5,1.1,2.3,49.5,66.5,13.3,4.2,11.7,3.3,51.7,94.4
118,Kyle Anderson,MIN,47,2.8,33.3,1.18,3.3,1.2,2.5,48.3,58.6,9.8,4.5,9.1,2.3,49.2,83.3
119,Paul George,LAC,43,3.0,13.0,1.21,3.6,1.2,2.7,44.0,60.8,5.5,3.9,4.7,0.8,44.9,88.1
120,Jaden Ivey,DET,54,3.0,17.6,0.94,2.9,1.0,2.7,37.2,50.0,4.3,8.5,4.3,1.2,36.0,30.1
121,DeMar DeRozan,CHI,53,3.1,13.3,0.93,2.9,1.0,2.6,37.2,45.3,10.3,7.3,10.3,0.6,40.6,26.9
122,Malik Monk,SAC,54,2.8,20.4,1.01,2.8,0.9,2.3,38.2,52.4,8.7,10.7,6.7,1.3,38.7,49.0
123,Kelly Olynyk,UTA,47,3.2,28.3,1.0,3.2,1.0,2.8,37.7,50.0,8.6,7.9,7.2,2.0,38.8,46.5
124,Troy Brown Jr.,LAL,52,3.0,43.1,0.96,2.9,1.0,2.9,35.1,50.3,0.0,4.4,0.0,0.0,33.5,36.9
125,Russell Westbrook,LAL,52,3.2,16.3,0.92,2.9,0.9,2.7,34.5,46.5,7.8,7.8,7.2,1.2,36.1,25.2
126,Anthony Lamb,GSW,43,3.1,47.7,1.14,3.5,1.2,2.7,43.5,60.0,6.8,9.0,6.8,2.3,42.1,74.8
127,Myles Turner,IND,49,2.8,18.5,1.09,3.1,1.1,2.5,43.8,59.1,5.8,8.0,5.8,1.4,41.3,65.0
128,Shai Gilgeous-Alexander,OKC,52,2.7,9.8,1.08,2.9,1.0,2.1,48.1,54.6,13.6,11.4,12.1,2.1,48.6,62.1
129,Trae Young,ATL,51,2.7,9.7,1.1,2.9,1.0,2.2,43.0,55.3,11.0,6.6,10.3,1.5,45.6,67.2
130,Shaedon Sharpe,POR,57,2.4,31.0,1.1,2.6,0.9,2.2,42.7,57.3,4.4,5.2,4.4,1.5,41.5,65.5
131,Andrew Nembhard,IND,52,2.9,30.2,0.97,2.8,1.0,2.7,39.1,52.5,1.3,7.9,1.3,0.7,36.4,39.8
132,Dennis Schroder,LAL,44,3.2,24.9,1.04,3.3,1.1,2.8,37.6,50.4,9.3,3.6,8.6,2.1,40.0,53.7
133,De'Aaron Fox,SAC,52,3.0,12.7,0.94,2.8,1.0,2.7,36.6,48.2,3.2,5.2,3.2,0.6,36.4,31.8
134,Yuta Watanabe,BKN,43,2.5,47.4,1.33,3.3,1.2,2.3,51.0,70.5,2.8,5.6,2.8,0.9,49.1,97.1
135,Fred VanVleet,TOR,50,3.0,15.2,0.95,2.9,1.0,2.8,35.2,50.4,1.3,4.6,1.3,0.0,33.8,34.0
136,Deni Avdija,WAS,55,2.9,29.5,0.89,2.6,0.9,2.6,34.5,45.2,5.0,5.0,3.7,0.0,36.0,22.8
137,Seth Curry,BKN,39,3.2,32.3,1.15,3.7,1.3,2.9,45.6,59.6,2.4,5.6,2.4,0.0,44.4,79.1
138,John Collins,ATL,49,3.5,28.2,0.82,2.9,1.1,3.2,33.3,42.0,3.5,6.4,2.9,0.0,33.5,14.1
139,Damian Lillard,POR,46,2.6,9.7,1.17,3.1,1.0,2.3,41.7,59.3,5.0,5.8,3.3,0.0,42.1,80.6
140,Austin Rivers,MIN,45,2.8,55.3,1.12,3.1,1.0,2.4,42.6,57.9,8.7,7.1,7.9,1.6,43.7,70.3
141,Desmond Bane,MEM,34,3.7,18.8,1.12,4.1,1.4,3.0,47.1,58.8,8.7,11.1,7.9,0.8,46.0,70.3
142,Josh Hart,POR,51,3.2,32.7,0.88,2.8,1.0,2.7,35.7,46.8,3.7,9.3,2.5,0.0,34.8,20.1
143,Kenrich Williams,OKC,48,2.8,38.5,1.06,2.9,1.1,2.6,41.1,56.0,0.8,5.3,0.8,0.0,39.4,58.2
144,Kyrie Irving,BKN,40,2.9,12.0,1.19,3.5,1.3,2.7,47.7,60.6,3.4,4.3,3.4,0.9,47.0,84.2
145,Jeremy Sochan,SAS,47,3.2,27.8,0.93,3.0,1.1,2.8,38.6,47.0,6.7,7.3,6.7,2.0,38.7,26.7
146,Jaylen Nowell,MIN,60,2.6,23.2,0.87,2.3,0.9,2.4,35.6,44.2,5.7,5.0,5.0,2.5,35.2,18.9
147,Paolo Banchero,ORL,52,3.2,14.7,0.84,2.7,0.9,2.8,31.3,41.7,7.3,6.7,7.3,1.2,33.3,15.5
148,Marcus Smart,BOS,41,3.8,29.8,0.88,3.3,1.1,3.5,32.4,45.2,1.9,5.2,1.9,0.6,31.6,20.9
149,Giannis Antetokounmpo,MIL,46,3.2,10.1,0.93,3.0,1.1,2.6,42.9,49.2,11.6,8.9,9.6,2.1,42.5,28.4
150,Devin Vassell,SAS,30,4.4,24.5,1.01,4.5,1.5,4.0,36.4,51.7,3.8,5.3,3.8,0.0,36.8,49.8
151,Tyus Jones,MEM,56,2.5,25.0,0.96,2.4,0.8,2.4,34.6,47.8,3.5,0.7,3.5,0.7,35.5,35.8
152,Josh Richardson,SAS,43,2.9,25.6,1.06,3.1,1.1,2.8,40.5,55.4,0.0,4.0,0.0,0.0,38.9,58.5
153,Kevin Love,CLE,42,2.8,33.1,1.12,3.1,1.0,2.5,40.6,59.0,2.5,7.6,2.5,0.0,39.0,69.9
154,Gabe Vincent,MIA,44,3.2,30.2,0.94,3.0,1.0,3.0,34.8,47.7,4.3,4.3,3.6,2.9,34.3,32.5
155,Monte Morris,WAS,49,2.3,23.7,1.15,2.7,0.9,2.2,41.5,57.1,6.1,2.6,4.4,1.8,42.1,77.7
156,Jonathan Kuminga,GSW,46,2.8,31.1,1.02,2.8,1.1,2.5,44.2,55.3,3.1,9.4,3.1,0.8,41.4,51.5
157,Tyrese Haliburton,IND,47,2.4,12.8,1.15,2.8,1.0,2.2,44.8,57.6,5.3,3.5,5.3,1.8,45.1,77.9
158,James Harden,PHI,40,2.5,12.1,1.3,3.2,1.1,2.2,47.2,66.9,5.1,5.1,5.1,0.0,47.5,95.1
159,Chris Boucher,TOR,53,2.5,27.8,0.98,2.4,0.8,2.3,33.6,47.1,6.1,2.3,5.3,0.8,36.4,42.0
160,Jalen Williams,OKC,52,2.8,23.0,0.89,2.5,0.9,2.5,36.4,47.7,1.4,7.6,1.4,0.0,34.5,22.3
161,Ja Morant,MEM,47,2.4,8.5,1.15,2.7,0.9,2.0,47.3,62.4,9.0,9.0,9.0,1.8,45.0,78.9
162,Patrick Beverley,LAL,45,2.8,41.6,1.01,2.8,1.0,2.6,38.5,53.4,2.4,6.3,0.8,0.8,37.0,48.3
163,Devin Booker,PHX,32,3.0,11.9,1.34,4.0,1.4,2.6,53.7,67.1,11.6,6.3,11.6,4.2,53.7,97.3
164,Kevin Porter Jr.,HOU,40,2.6,12.6,1.21,3.1,1.0,2.4,42.3,60.3,3.8,2.9,3.8,0.0,43.3,87.8
165,Rui Hachimura,WAS,30,4.6,36.3,0.91,4.2,1.7,4.5,37.3,45.1,3.6,0.7,3.6,1.4,38.4,25.0
166,Ish Wainright,PHX,41,2.8,60.1,1.11,3.0,1.0,2.5,39.8,57.3,4.4,5.3,3.5,0.9,39.8,68.4
167,Terence Davis,SAC,44,2.6,36.7,1.11,2.8,1.0,2.2,43.3,59.8,4.4,9.7,4.4,0.0,41.6,68.4
168,Collin Sexton,UTA,46,2.8,20.7,0.98,2.7,0.9,2.3,41.3,51.9,9.4,11.7,7.8,2.3,40.6,41.7
169,Herbert Jones,NOP,42,4.0,39.5,0.73,3.0,1.0,3.5,28.9,36.2,6.5,7.6,6.5,1.8,30.0,7.1
170,Bradley Beal,WAS,35,2.9,13.9,1.21,3.5,1.3,2.7,46.8,61.2,4.9,4.9,4.9,2.0,46.1,86.7
171,Jrue Holiday,MIL,46,2.8,14.1,0.94,2.7,1.0,2.5,40.4,51.8,2.3,11.5,2.3,0.8,36.6,29.9
172,Josh Okogie,PHX,49,2.9,44.0,0.85,2.5,0.8,2.3,33.9,45.5,11.3,10.6,11.3,0.7,36.6,17.5
